date,value
2006-03-21,121410.55670630834
2006-06-22,138512.6315861393
2006-09-23,114816.90569818164
2006-12-22,118450.1667171569
2007-03-21,140182.92529453817
2007-06-22,149842.60681898412
2007-06-22,149842.60681898412
2007-09-23,176867.9942476005
2007-12-22,189056.9950210462
2008-03-20,190140.38406426838
2008-06-21,245805.38220406158
2008-09-22,130014.2559107992
2008-12-21,106989.24209519137
2009-03-21,127213.30469417598
2009-06-22,134073.96243397729
2009-09-23,144723.6005676105
2009-12-22,141829.9974814956
2010-03-21,168581.36378846076
2010-06-22,195510.003378066
2010-09-23,177277.83715520424
2010-12-22,220570.3206315159
2011-03-21,255888.42756540346
2011-03-21,399308.32714088936
2011-06-22,387792.7451693552
2011-06-22,237955.97433888642
2011-09-23,241273.94753912248
2011-09-23,418069.5687328299
2011-12-22,495739.3293475547
2011-12-22,254543.2124546602
2012-03-20,512082.12637515564
2012-03-20,202388.24979058543
2012-06-21,429689.56387073884
2012-06-21,123041.524284464
2012-09-22,486612.2320500236
2012-09-22,177805.04425118564
2012-12-21,440739.7934750115
2012-12-21,155745.3417775878
2013-03-21,244147.68462424632
2013-03-21,709731.2539882904
2013-06-22,246331.69949107725
2013-06-22,663464.5844555206
2013-09-23,241410.84670346603
2013-09-23,616982.2728514811
2013-12-22,285619.8765165858
2013-12-22,650309.1058861093
2014-03-21,288121.33998952614
2014-03-21,677175.9864135861
2014-06-22,253860.98965362052
2014-06-22,678362.2500908939
2014-09-23,205118.70361472317
2014-09-23,500728.0331665571
2014-12-22,140504.21836666402
2014-12-22,333691.26561818045
2015-03-21,204174.21141130256
2015-03-21,427677.35157769953
2015-06-22,169951.7371384205
2015-06-22,366066.3250337322
2015-09-23,279649.0220195526
2015-09-23,125032.86926462957
2015-12-22,223540.8197413656
2015-12-22,112920.57392304635
2016-03-20,387745.0750819962
2016-03-20,218204.76305562168
2016-06-21,444944.17007134703
2016-06-21,266917.40611807146
2016-09-22,486672.12985897774
2016-09-22,302804.2673989757
2016-12-21,558739.3786053743
2016-12-21,320633.2185498088
2017-03-21,549724.4912884193
2017-06-22,568624.1060492516
2017-09-23,692720.9685191493
2017-12-22,760604.64097769
2018-03-21,1019765.8515602562
2018-06-22,1111996.2659105624
2018-09-23,1058223.4737284312
2018-12-22,1282950.0798892232
2019-03-21,1304477.8340259355
2019-06-22,1276441.823592312
2019-09-23,1265250.5495236907
2019-12-22,1184188.3399070627
