date,values
2003-01-01,12.3
2003-02-01,11.4
2003-03-01,10.5
2003-04-01,10.1
2003-05-01,10.0
2003-06-01,10.1
2003-07-01,10.0
2003-08-01,10.0
2003-09-01,10.7
2003-10-01,12.3
2003-11-01,13.0
2003-12-01,14.0
2004-01-01,15.0
2004-02-01,16.5
2004-03-01,17.8
2004-04-01,18.5
2004-05-01,19.4
2004-06-01,19.4
2004-07-01,19.1
2004-08-01,19.1
2004-09-01,18.2
2004-10-01,17.1
2004-11-01,16.1
2004-12-01,15.0
2005-01-01,14.0
2005-02-01,12.9
2005-03-01,12.5
2005-04-01,12.6
2005-05-01,12.5
2005-06-01,12.9
2005-07-01,14.2
2005-08-01,15.5
2005-09-01,16.8
2005-10-01,17.4
2005-11-01,17.8
2005-12-01,17.9
2006-01-01,17.9
2006-02-01,17.8
2006-03-01,17.4
2006-04-01,16.9
2006-05-01,16.4
2006-06-01,15.5
2006-07-01,13.5
2006-08-01,11.4
2006-09-01,10.0
2006-10-01,9.0
2006-11-01,8.5
2006-12-01,8.2
2007-01-01,8.0
2007-02-01,7.7
2007-03-01,7.2
2007-04-01,6.5
2007-05-01,6.0
2007-06-01,5.9
2007-07-01,6.0
2007-08-01,6.1
2007-09-01,5.9
2007-10-01,5.7
2007-11-01,5.5
2007-12-01,5.4
2008-01-01,5.5
2008-02-01,5.5
2008-03-01,5.8
2008-04-01,6.1
2008-05-01,6.5
2008-06-01,7.0
2008-07-01,7.8
2008-08-01,8.5
2008-09-01,9.2
2008-10-01,10.1
2008-11-01,10.9
2008-12-01,11.6
2009-01-01,12.0
2009-02-01,12.6
2009-03-01,13.1
2009-04-01,13.5
2009-05-01,13.8
2009-06-01,13.7
2009-07-01,13.4
2009-08-01,13.3
2009-09-01,13.1
2009-10-01,12.8
2009-11-01,12.6
2009-12-01,12.5
2010-01-01,12.6
2010-02-01,12.7
2010-03-01,12.8
2010-04-01,12.9
2010-05-01,12.9
2010-06-01,13.1
2010-07-01,13.3
2010-08-01,13.5
2010-09-01,13.8
2010-10-01,13.9
2010-11-01,13.9
2010-12-01,13.7
2011-01-01,13.5
2011-02-01,13.2
2011-03-01,13.0
2011-04-01,12.7
2011-05-01,12.6
2011-06-01,12.3
2011-07-01,12.0
2011-08-01,11.6
2011-09-01,11.4
2011-10-01,11.1
2011-11-01,11.0
2011-12-01,10.8
2012-01-01,10.9
2012-02-01,11.0
2012-03-01,10.9
2012-04-01,11.1
2012-05-01,11.1
2012-06-01,11.3
2012-07-01,11.6
2012-08-01,11.8
2012-09-01,11.9
2012-10-01,11.9
2012-11-01,12.1
2012-12-01,12.2
2013-01-01,11.9
2013-02-01,11.7
2013-03-01,11.4
2013-04-01,11.1
2013-05-01,10.8
2013-06-01,10.4
2013-07-01,10.0
2013-08-01,9.8
2013-09-01,9.5
2013-10-01,9.2
2013-11-01,8.8
2013-12-01,8.5
2014-01-01,8.4
2014-02-01,8.3
2014-03-01,8.2
2014-04-01,8.1
2014-05-01,8.0
2014-06-01,8.0
2014-07-01,8.0
2014-08-01,8.0
2014-09-01,8.0
2014-10-01,8.0
2014-11-01,8.0
2014-12-01,8.0
2015-01-01,8.1
2015-02-01,8.1
2015-03-01,8.2
2015-04-01,8.2
2015-05-01,8.3
2015-06-01,8.4
2015-07-01,8.5
2015-08-01,8.6
2015-09-01,8.7
2015-10-01,8.76
2015-11-01,8.88
2015-12-01,9.01
2016-01-01,9.13
2016-02-01,9.39
2016-03-01,9.75
2016-04-01,10.18
2016-05-01,10.75
2016-06-01,11.37
2016-07-01,12.04
2016-08-01,12.74
2016-09-01,13.45
2016-10-01,14.21
2016-11-01,14.96
2016-12-01,15.7
2017-01-01,16.44
2017-02-01,16.96
2017-03-01,17.32
2017-04-01,17.59
2017-05-01,17.63
2017-06-01,17.58
2017-07-01,17.47
2017-08-01,17.33
2017-09-01,17.17
2017-10-01,16.97
2017-11-01,16.76
2017-12-01,16.5
2018-01-01,16.22
2018-02-01,15.93
2018-03-01,15.6
2018-04-01,15.2
2018-05-01,14.79
2018-06-01,14.37
2018-07-01,13.95
2018-08-01,13.55
2018-09-01,13.16
2018-10-01,12.78
2018-11-01,12.41
2018-12-01,12.1
2019-01-01,11.8
2019-02-01,11.56
2019-03-01,11.4
2019-04-01,11.31
2019-05-01,11.3
2019-06-01,11.3
2019-07-01,11.29
2019-08-01,11.27
2019-09-01,11.27
2019-10-01,11.3
2019-11-01,11.35
2019-12-01,11.4
2020-01-01,11.46
2020-02-01,11.54
2020-03-01,11.62
2020-04-01,11.71
2020-05-01,11.79
2020-06-01,11.9
2020-07-01,12.05
2020-08-01,12.23
2020-09-01,12.44
2020-10-01,12.66
2020-11-01,12.92
2020-12-01,13.25
2021-01-01,13.62
2021-02-01,14.05
2021-03-01,14.55
2021-04-01,15.04
2021-05-01,15.5
2021-06-01,15.93
2021-07-01,16.3
2021-08-01,16.6
2021-09-01,16.83
2021-10-01,16.96
2021-11-01,16.98
2021-12-01,16.95
2022-01-01,16.87
2022-02-01,16.73
2022-03-01,16.54
2022-04-01,16.45
2022-05-01,16.45
2022-06-01,16.54
2022-07-01,16.75
2022-08-01,17.07
2022-09-01,17.43
2022-10-01,17.86
2022-11-01,18.37
2022-12-01,18.85
2023-01-01,19.36
2023-02-01,19.87
2023-03-01,20.37
2023-04-01,20.82
2023-05-01,21.2
2023-06-01,21.54
2023-07-01,21.92
2023-08-01,22.38
