date,value
1996-01-01,5219.36
1997-01-01,5729.02
1998-01-01,5944.92
1999-01-01,6359.8
2000-01-01,6900.62
2001-01-01,7467.03
2002-01-01,8340.58
2003-01-01,9506.76
2004-01-01,10705.99
2005-01-01,11733.45
2006-01-01,12880.52
2007-01-01,14390.01
2008-01-01,16280.82
2009-01-01,17271.34
2010-01-01,19938.6
2011-01-01,22259.91
2012-01-01,24278.35
2013-01-01,26657.54
2014-01-01,28648.74
2015-01-01,29466.85
2016-01-01,30558.75
2017-01-01,31843.95
2018-01-01,33593.82
2019-01-01,35161.7
2020-01-01,35935.69
