date,value
2000-01-01,46.0
2000-02-01,46.5
2000-03-01,48.5
2000-04-01,48.5
2000-05-01,50.5
2000-06-01,48.1
2000-07-01,49.8
2000-08-01,49.7
2000-09-01,48.4
2000-10-01,49.4
2000-11-01,50.3
2000-12-01,69.3
2001-01-01,46.9
2001-02-01,44.2
2001-03-01,49.7
2001-04-01,47.6
2001-05-01,49.4
2001-06-01,47.5
2001-07-01,47.8
2001-08-01,49.1
2001-09-01,47.1
2001-10-01,50.0
2001-11-01,49.1
2001-12-01,67.4
2002-01-01,46.4
2002-02-01,43.5
2002-03-01,49.9
2002-04-01,46.6
2002-05-01,50.0
2002-06-01,46.6
2002-07-01,48.6
2002-08-01,50.2
2002-09-01,46.4
2002-10-01,50.3
2002-11-01,49.1
2002-12-01,63.9
2003-01-01,44.3
2003-02-01,42.8
2003-03-01,44.2
2003-04-01,44.9
2003-05-01,46.9
2003-06-01,44.0
2003-07-01,46.5
2003-08-01,47.3
2003-09-01,45.1
2003-10-01,48.8
2003-11-01,49.0
2003-12-01,66.0
2004-01-01,47.0
2004-02-01,45.0
2004-03-01,49.1
2004-04-01,49.5
2004-05-01,51.9
2004-06-01,49.7
2004-07-01,52.1
2004-08-01,50.5
2004-09-01,49.2
2004-10-01,52.9
2004-11-01,52.0
2004-12-01,73.5
2005-01-01,49.9
2005-02-01,45.9
2005-03-01,52.9
2005-04-01,51.1
2005-05-01,53.3
2005-06-01,52.3
2005-07-01,54.4
2005-08-01,54.0
2005-09-01,51.9
2005-10-01,54.9
2005-11-01,54.6
2005-12-01,77.2
2006-01-01,53.2
2006-02-01,48.8
2006-03-01,54.4
2006-04-01,54.9
2006-05-01,57.3
2006-06-01,54.3
2006-07-01,55.6
2006-08-01,57.4
2006-09-01,57.1
2006-10-01,58.7
2006-11-01,59.5
2006-12-01,81.6
2007-01-01,57.7
2007-02-01,53.2
2007-03-01,60.7
2007-04-01,59.2
2007-05-01,63.3
2007-06-01,60.6
2007-07-01,60.8
2007-08-01,63.3
2007-09-01,61.8
2007-10-01,64.3
2007-11-01,65.7
2007-12-01,89.3
2008-01-01,64.5
2008-02-01,60.0
2008-03-01,67.5
2008-04-01,64.3
2008-05-01,70.3
2008-06-01,65.5
2008-07-01,67.7
2008-08-01,69.6
2008-09-01,67.6
2008-10-01,70.7
2008-11-01,69.0
2008-12-01,92.7
2009-01-01,68.3
2009-02-01,62.3
2009-03-01,68.3
2009-04-01,68.9
2009-05-01,72.3
2009-06-01,69.2
2009-07-01,71.7
2009-08-01,72.8
2009-09-01,71.0
2009-10-01,76.7
2009-11-01,74.9
2009-12-01,101.2
2010-01-01,75.4
2010-02-01,69.9
2010-03-01,79.1
2010-04-01,75.2
2010-05-01,79.8
2010-06-01,77.1
2010-07-01,79.7
2010-08-01,80.5
2010-09-01,79.5
2010-10-01,83.4
2010-11-01,82.4
2010-12-01,111.6
2011-01-01,81.7
2011-02-01,75.9
2011-03-01,82.2
2011-04-01,82.9
2011-05-01,84.8
2011-06-01,82.5
2011-07-01,85.3
2011-08-01,85.7
2011-09-01,83.6
2011-10-01,87.0
2011-11-01,87.9
2011-12-01,119.0
2012-01-01,88.0
2012-02-01,83.9
2012-03-01,92.5
2012-04-01,87.8
2012-05-01,91.7
2012-06-01,90.2
2012-07-01,91.4
2012-08-01,94.2
2012-09-01,90.8
2012-10-01,94.9
2012-11-01,95.3
2012-12-01,125.1
2013-01-01,93.3
2013-02-01,83.7
2013-03-01,96.6
2013-04-01,89.3
2013-05-01,95.8
2013-06-01,91.7
2013-07-01,97.0
2013-08-01,100.0
2013-09-01,94.6
2013-10-01,100.0
2013-11-01,102.0
2013-12-01,129.9
2014-01-01,99.2
2014-02-01,90.9
2014-03-01,95.6
2014-04-01,95.3
2014-05-01,100.2
2014-06-01,92.6
2014-07-01,96.1
2014-08-01,99.1
2014-09-01,95.1
2014-10-01,102.2
2014-11-01,103.5
2014-12-01,130.3
2015-01-01,99.8
2015-02-01,87.9
2015-03-01,95.9
2015-04-01,92.1
2015-05-01,95.7
2015-06-01,90.1
2015-07-01,92.4
2015-08-01,92.2
2015-09-01,89.1
2015-10-01,96.4
2015-11-01,95.4
2015-12-01,120.9
2016-01-01,89.2
2016-02-01,84.2
2016-03-01,90.4
2016-04-01,85.8
2016-05-01,87.1
2016-06-01,85.7
2016-07-01,87.2
2016-08-01,87.1
2016-09-01,84.0
2016-10-01,88.6
2016-11-01,91.8
2016-12-01,115.0
2017-01-01,88.1
2017-02-01,81.1
2017-03-01,87.5
2017-04-01,87.3
2017-05-01,89.4
2017-06-01,88.2
2017-07-01,89.9
2017-08-01,90.2
2017-09-01,89.2
2017-10-01,90.9
2017-11-01,97.3
2017-12-01,119.5
2018-01-01,90.9
2018-02-01,82.3
2018-03-01,94.5
2018-04-01,87.9
2018-05-01,91.8
2018-06-01,89.6
2018-07-01,89.0
2018-08-01,93.9
2018-09-01,89.4
2018-10-01,92.7
2018-11-01,101.7
2018-12-01,120.3
2019-01-01,92.6
2019-02-01,85.6
2019-03-01,90.3
