date,value
2023-07-01,281755999.0
2023-06-01,285321600.0
2023-05-01,283484005.0
2023-04-01,295417981.0
2023-03-01,315589337.0
2023-02-01,214025811.0
2023-01-01,292275545.0
2022-12-01,306078766.0
2022-11-01,295500770.0
2022-10-01,298371747.0
2022-09-01,322755333.0
2022-08-01,314920505.0
2022-07-01,332964256.0
2022-06-01,331264197.0
2022-05-01,308244886.0
2022-04-01,273619664.0
2022-03-01,276084613.0
2022-02-01,217416504.0
2022-01-01,327285953.0
2021-12-01,340498780.0
2021-11-01,325525287.0
2021-10-01,300221418.0
2021-09-01,305737341.0
2021-08-01,294315479.0
2021-07-01,282662343.0
2021-06-01,281417177.567
2021-05-01,263922346.922
2021-04-01,263923793.224
2021-03-01,241134158.092
2021-02-01,204855175.675
2021-01-01,264018838.871
2020-12-01,281927726.328
2020-11-01,268074093.326
2020-10-01,237182561.331
2020-09-01,239757675.0
2020-08-01,235259186.0
2020-07-01,237631279.0
2020-06-01,213574174.0
2020-05-01,206812825.0
2020-04-01,200233629.0
2020-03-01,185146228.0
2019-12-01,238267589.0
2019-11-01,221337434.0
2019-10-01,212916095.0
2019-09-01,218123102.0
2019-08-01,214786135.0
2019-07-01,221553908.0
2019-06-01,212835863.0
2019-05-01,213845417.0
2019-04-01,193481260.0
2019-03-01,198655790.0
2019-02-01,135200630.0
2019-01-01,217566642.0
2018-12-01,221249124.0
2018-11-01,227445523.0
2018-10-01,217283435.0
2018-09-01,226686815.0
2018-08-01,217372208.0
2018-07-01,215565384.0
2018-06-01,216597141.0
2018-05-01,212869326.0
2018-04-01,200035315.0
2018-03-01,174121483.0
2018-02-01,171616391.0
2018-01-01,200491435.0
2017-12-01,231796372.0
2017-11-01,217382014.9
2017-10-01,188979730.0
2017-09-01,198231216.0
2017-08-01,199342432.0
2017-07-01,193601151.0
2017-06-01,196590894.3
2017-05-01,191014115.0
2017-04-01,179988316.0
2017-03-01,180600668.0
2017-02-01,120078967.0
2017-01-01,182752414.0
2016-12-01,209417479.0
2016-11-01,193546446.0
2016-10-01,177867030.0
2016-09-01,184498014.0
2016-08-01,190592312.0
2016-07-01,182642116.0
2016-06-01,180183971.0
2016-05-01,181059364.0
2016-04-01,172757807.0
2016-03-01,160813329.0
2016-02-01,126144745.0
2016-01-01,177185706.0
2015-12-01,223683502.0
2015-11-01,196463224.0
2015-10-01,192395789.0
2015-09-01,205554591.0
2015-08-01,196868247.0
2015-07-01,195096520.0
2015-06-01,191975441.0
2015-05-01,190057568.0
2015-04-01,176330816.0
2015-03-01,144568557.0
2015-02-01,169190546.0
2015-01-01,200258035.0
2014-12-01,227512544.0
2014-11-01,211662669.0
2014-10-01,206866715.0
2014-09-01,213687462.0
2014-08-01,208465863.0
2014-07-01,212891063.0
2014-06-01,186788537.0
2014-05-01,195472920.0
2014-04-01,188540548.0
2014-03-01,170107988.0
2014-02-01,114093694.0
2014-01-01,207132123.0
2013-12-01,207742423.0
2013-11-01,202204803.0
2013-10-01,185405576.0
2013-09-01,185643576.0
2013-08-01,190608317.0
2013-07-01,185991317.0
2013-06-01,174315796.0
2013-05-01,182766116.0
2013-04-01,187061474.0
2013-03-01,182189999.0
2013-02-01,139367235.0
2013-01-01,187365572.0
2012-12-01,199229682.0
2012-11-01,179380767.0
2012-10-01,175571102.0
2012-09-01,186349509.0
2012-08-01,177973297.0
2012-07-01,176940032.0
2012-06-01,180204470.0
2012-05-01,181140762.0
2012-04-01,163251712.0
2012-03-01,165658100.0
2012-02-01,114470693.0
2012-01-01,149939113.0
2011-12-01,174717651.0
2011-11-01,174464123.0
2011-10-01,157490772.0
2011-09-01,169673012.0
2011-08-01,173315697.0
2011-07-01,175128036.0
2011-06-01,161980774.0
2011-05-01,157157191.0
2011-04-01,155684084.0
2011-03-01,152199071.0
2011-02-01,96736127.0
2011-01-01,150734151.0
2010-12-01,154148895.0
2010-11-01,153325762.0
2010-10-01,135978419.0
2010-09-01,144985285.0
2010-08-01,139302230.0
2010-07-01,145519322.0
2010-06-01,137395578.0
2010-05-01,131760663.0
2010-04-01,119920666.0
2010-03-01,112111793.0
2010-02-01,94522714.0
2010-01-01,109475299.0
2009-12-01,130723881.0
2009-11-01,113653429.0
2009-10-01,110762383.0
2009-09-01,115937994.0
2009-08-01,103707009.0
2009-07-01,105420240.0
2009-06-01,95411208.0
2009-05-01,88757886.0
2009-04-01,91934722.0
2009-03-01,90290547.0
2009-02-01,64894649.0
2009-01-01,90453600.0
2008-12-01,111157222.0
2008-11-01,114987285.0
2008-10-01,128327028.0
2008-09-01,136432088.0
2008-08-01,134872675.0
2008-07-01,136675046.0
2008-06-01,121179554.0
2008-05-01,120496491.0
2008-04-01,118771084.0
2008-03-01,108962891.0
2008-02-01,87367796.0
2008-01-01,109640030.0
2007-12-01,114415986.0
2007-11-01,117620807.0
2007-10-01,107723989.0
2007-09-01,112373049.0
2007-08-01,111354781.0
2007-07-01,107744104.0
2007-06-01,103268286.0
2007-05-01,94065041.0
2007-04-01,97449955.0
2007-03-01,83424155.0
2007-02-01,82095593.0
2007-01-01,86619731.0
2006-12-01,94094055.0
2006-11-01,95854497.0
2006-10-01,88127371.0
2006-09-01,91629488.0
2006-08-01,90766001.0
2006-07-01,80337153.0
2006-06-01,81311219.0
2006-05-01,73113881.0
2006-04-01,76948177.0
