date,value
1994-01-01,1316878619.736
1995-01-01,1607380673.707
1996-01-01,1731595952.111
1997-01-01,1142032617.061
1998-01-01,1852289978.338
1999-01-01,1113537727.273
2000-01-01,2185507246.377
2001-01-01,891666666.667
2002-01-01,1367800837.583
2003-01-01,2145055691.033
2004-01-01,2340567899.374
2005-01-01,2745153182.313
2006-01-01,3136076907.385
2007-01-01,6539494270.728
2008-01-01,7723022136.97
2009-01-01,5000335044.43
2010-01-01,8865916819.888
2011-01-01,10210736241.224
2012-01-01,9027202300.881
2013-01-01,11910414552.128
2014-01-01,13226085775.051
2015-01-01,10512899420.245
2016-01-01,8896177270.057
2017-01-01,13401989372.088
2018-01-01,15485130694.236
2019-01-01,13393198273.573
2020-01-01,13935463326.452
2021-01-01,22353947838.673
2022-01-01,27884851918.461
