date,value
1960-01-01,19168015346.3
1961-01-01,17088021913.304
1962-01-01,20710801750.408
1963-01-01,21790660910.419
1964-01-01,21258920068.025
1965-01-01,21470945650.84
1966-01-01,22925706417.554
1967-01-01,22699718865.977
1968-01-01,23683229236.62
1969-01-01,25892599192.304
1970-01-01,25829147675.522
1971-01-01,27380192660.087
1972-01-01,27421573854.94
1973-01-01,29652942972.184
1974-01-01,30581253817.649
1975-01-01,29057808595.674
1976-01-01,27515128932.645
1977-01-01,27724462273.023
1978-01-01,26242508940.081
1979-01-01,26355374890.711
1980-01-01,26933852420.27
1981-01-01,27566939105.696
1982-01-01,27440771397.934
1983-01-01,27828153779.846
1984-01-01,29370132379.735
1985-01-01,29507540823.368
1986-01-01,30899473387.571
1987-01-01,31726232814.748
1988-01-01,31875467092.762
1989-01-01,31471907539.03
1990-01-01,29404734870.336
1991-01-01,26928547003.721
1992-01-01,24101047261.995
1993-01-01,20854865026.059
1994-01-01,20041525956.747
1995-01-01,20181816403.917
1996-01-01,19975321579.814
1997-01-01,18853298458.435
1998-01-01,18547091848.946
1999-01-01,17755104906.917
2000-01-01,16528062511.828
2001-01-01,16180944601.418
2002-01-01,16657920852.755
2003-01-01,17587070078.703
2004-01-01,18772152624.508
2005-01-01,19923852563.16
2006-01-01,20983996686.704
2007-01-01,22297485293.386
2008-01-01,23685703152.329
2009-01-01,24361945138.574
2010-01-01,26093586492.436
2011-01-01,27887434687.193
2012-01-01,29863789002.307
2013-01-01,32396822635.375
2014-01-01,35464895073.265
2015-01-01,37917706485.59
2016-01-01,38827503523.27
2017-01-01,40274584254.679
2018-01-01,42619016576.622
2019-01-01,44487659667.239
2020-01-01,45259708640.097
2021-01-01,48065880280.604
2022-01-01,52355494700.272
