date,value
1961-01-01,-10.851
1962-01-01,21.201
1963-01-01,5.214
1964-01-01,-2.44
1965-01-01,0.997
1966-01-01,6.775
1967-01-01,-0.986
1968-01-01,4.333
1969-01-01,9.329
1970-01-01,-0.245
1971-01-01,6.005
1972-01-01,0.151
1973-01-01,8.137
1974-01-01,3.131
1975-01-01,-4.982
1976-01-01,-5.309
1977-01-01,0.761
1978-01-01,-5.345
1979-01-01,0.43
1980-01-01,2.195
1981-01-01,2.351
1982-01-01,-0.458
1983-01-01,1.412
1984-01-01,5.541
1985-01-01,0.468
1986-01-01,4.717
1987-01-01,2.676
1988-01-01,0.47
1989-01-01,-1.266
1990-01-01,-6.568
1991-01-01,-8.421
1992-01-01,-10.5
1993-01-01,-13.469
1994-01-01,-3.9
1995-01-01,0.7
1996-01-01,-1.023
1997-01-01,-5.617
1998-01-01,-1.624
1999-01-01,-4.27
2000-01-01,-6.911
2001-01-01,-2.1
2002-01-01,2.948
2003-01-01,5.578
2004-01-01,6.738
2005-01-01,6.135
2006-01-01,5.321
2007-01-01,6.259
2008-01-01,6.226
2009-01-01,2.855
2010-01-01,7.108
2011-01-01,6.875
2012-01-01,7.087
2013-01-01,8.482
2014-01-01,9.47
2015-01-01,6.916
2016-01-01,2.399
2017-01-01,3.727
2018-01-01,5.821
2019-01-01,4.385
2020-01-01,1.735
2021-01-01,6.2
2022-01-01,8.924
