date,value
1991-01-01,3.04
1992-01-01,3.043
1993-01-01,3.05
1994-01-01,2.993
1995-01-01,2.962
1996-01-01,2.964
1997-01-01,2.98
1998-01-01,2.953
1999-01-01,2.957
2000-01-01,2.961
2001-01-01,2.928
2002-01-01,2.895
2003-01-01,2.873
2004-01-01,2.857
2005-01-01,2.85
2006-01-01,3.087
2007-01-01,3.316
2008-01-01,3.551
2009-01-01,3.807
2010-01-01,4.017
2011-01-01,4.254
2012-01-01,4.49
2013-01-01,4.468
2014-01-01,4.449
2015-01-01,4.457
2016-01-01,4.479
2017-01-01,4.459
2018-01-01,4.434
2019-01-01,4.436
2020-01-01,5.127
2021-01-01,5.112
2022-01-01,4.987
