date,value
2016-03-31,2033814.0
2016-06-30,2037580.0
2016-09-30,2031339.0
2016-12-31,2006813.0
2017-03-31,1988916.0
2017-06-30,1980960.0
2017-09-30,1974878.0
2017-12-31,1967265.0
2018-03-31,1949188.0
2018-06-30,1934533.0
2018-09-30,1928616.0
2018-12-31,1914050.0
2019-03-31,1927098.0
2019-06-30,1919165.0
2019-09-30,1930352.0
2019-12-31,1899168.0
2020-03-31,1955379.0
2020-06-30,2109189.0
2020-09-30,2194433.0
2020-12-31,2171798.0
2021-03-31,2205493.0
2021-06-30,2251843.0
2021-09-30,2284049.0
2021-12-31,2319911.0
2022-03-31,2319009.0
2022-06-30,2343965.0
2022-09-30,2325357.0
2022-12-31,2367687.0
2023-03-31,2406594.0
