date,value
1991-01-01,384.54
1991-04-01,394.931
1991-07-01,398.82
1991-10-01,406.893
1992-01-01,419.655
1992-04-01,421.529
1992-07-01,428.167
1992-10-01,431.838
1993-01-01,429.414
1993-04-01,437.07
1993-07-01,440.297
1993-10-01,443.657
1994-01-01,451.328
1994-04-01,453.965
1994-07-01,459.22
1994-10-01,464.588
1995-01-01,469.3
1995-04-01,473.043
1995-07-01,474.521
1995-10-01,476.176
1996-01-01,477.987
1996-04-01,477.897
1996-07-01,481.349
1996-10-01,483.474
1997-01-01,482.114
1997-04-01,491.312
1997-07-01,492.776
1997-10-01,495.719
1998-01-01,501.859
1998-04-01,500.847
1998-07-01,505.19
1998-10-01,507.37
1999-01-01,508.218
1999-04-01,512.481
1999-07-01,517.032
1999-10-01,523.439
2000-01-01,525.027
2000-04-01,527.43
2000-07-01,528.62
2000-10-01,528.799
2001-01-01,540.243
2001-04-01,540.924
2001-07-01,542.087
2001-10-01,547.107
2002-01-01,544.332
2002-04-01,549.122
2002-07-01,552.424
2002-10-01,551.329
2003-01-01,550.218
2003-04-01,550.018
2003-07-01,555.067
2003-10-01,557.363
2004-01-01,564.678
2004-04-01,565.676
2004-07-01,565.084
2004-10-01,567.853
2005-01-01,564.691
2005-04-01,571.858
2005-07-01,574.902
2005-10-01,577.847
2006-01-01,586.094
2006-04-01,591.432
2006-07-01,598.878
2006-10-01,609.496
2007-01-01,617.916
2007-04-01,620.212
2007-07-01,627.09
2007-10-01,632.636
2008-01-01,639.594
2008-04-01,644.228
2008-07-01,635.7
2008-10-01,624.674
2009-01-01,609.283
2009-04-01,605.806
2009-07-01,612.012
2009-10-01,619.701
2010-01-01,628.279
2010-04-01,637.724
2010-07-01,645.765
2010-10-01,655.656
2011-01-01,666.13
2011-04-01,671.55
2011-07-01,676.713
2011-10-01,679.913
2012-01-01,685.265
2012-04-01,682.943
2012-07-01,686.269
2012-10-01,690.793
2013-01-01,690.328
2013-04-01,702.358
2013-07-01,707.576
2013-10-01,711.404
2014-01-01,724.166
2014-04-01,727.067
2014-07-01,734.244
2014-10-01,741.246
2015-01-01,745.723
2015-04-01,750.415
2015-07-01,760.86
2015-10-01,769.232
2016-01-01,772.033
2016-04-01,785.543
2016-07-01,785.993
2016-10-01,791.896
2017-01-01,806.359
2017-04-01,808.302
2017-07-01,822.354
2017-10-01,829.294
2018-01-01,831.33
2018-04-01,842.373
2018-07-01,840.52
2018-10-01,848.948
2019-01-01,860.359
2019-04-01,865.245
2019-07-01,874.693
2019-10-01,871.32
2020-01-01,875.411
2020-04-01,801.079
2020-07-01,858.027
2020-10-01,869.118
2021-01-01,875.765
2021-04-01,895.869
2021-07-01,918.144
2021-10-01,930.83
2022-01-01,950.972
2022-04-01,963.396
2022-07-01,972.748
2022-10-01,991.216
2023-01-01,1011.367
2023-04-01,1025.119
