date,value
2022-01-01,1.796
2021-01-01,1.839
2020-01-01,1.82
2019-01-01,1.8630000000000002
2018-01-01,1.87
2017-01-01,1.893
2016-01-01,1.9240000000000002
2015-01-01,1.955
2014-01-01,1.999
2013-01-01,1.9880000000000002
2012-01-01,2.008
2011-01-01,2.01
2010-01-01,2.029
2009-01-01,2.004
2008-01-01,2.0069999999999997
2007-01-01,1.9769999999999999
2006-01-01,1.9969999999999999
2005-01-01,1.9380000000000002
2004-01-01,1.915
2003-01-01,1.891
2002-01-01,1.881
2001-01-01,1.895
2000-01-01,1.893
1999-01-01,1.808
1998-01-01,1.7790000000000001
1997-01-01,1.745
1996-01-01,1.75
1995-01-01,1.73
1994-01-01,1.683
