date,value
2022-01-01,2.455
2021-01-01,6.435
2020-01-01,-7.54
2019-01-01,1.843
2018-01-01,1.865
2017-01-01,2.291
2016-01-01,1.095
2015-01-01,1.113
2014-01-01,0.956
2013-01-01,0.576
2012-01-01,0.313
2011-01-01,2.193
2010-01-01,1.949
2009-01-01,-2.873
2008-01-01,0.255
2007-01-01,2.425
2006-01-01,2.449
2005-01-01,1.663
2004-01-01,2.83
2003-01-01,0.823
2002-01-01,1.136
2001-01-01,1.984
2000-01-01,3.924
1999-01-01,3.421
1998-01-01,3.589
1997-01-01,2.336
1996-01-01,1.413
1995-01-01,2.107
1994-01-01,2.358
1993-01-01,-0.629
1992-01-01,1.599
1991-01-01,1.048
1990-01-01,2.924
1989-01-01,4.344
1988-01-01,4.743
1987-01-01,2.562
1986-01-01,2.337
1985-01-01,1.623
1984-01-01,1.514
1983-01-01,1.241
1982-01-01,2.505
1981-01-01,1.069
1980-01-01,1.579
1979-01-01,3.55
1978-01-01,3.979
1977-01-01,3.464
1976-01-01,4.357
1975-01-01,-0.96
1974-01-01,4.301
1973-01-01,6.345
1972-01-01,4.511
1971-01-01,5.317
1970-01-01,6.109
1969-01-01,7.109
1968-01-01,4.491
1967-01-01,4.921
1966-01-01,5.252
1965-01-01,4.861
1964-01-01,6.652
1963-01-01,6.234
1962-01-01,6.844
1961-01-01,4.98
1960-01-01,7.992
1959-01-01,2.671
1958-01-01,2.696
1957-01-01,5.517
1956-01-01,4.988
1955-01-01,5.312
1954-01-01,5.578
1953-01-01,3.456
1952-01-01,3.114
1951-01-01,5.792
1950-01-01,8.566
