date,value
2023-01-01,36845
2022-01-01,36537
2021-01-01,36231
2020-01-01,35946
2019-01-01,35631
2018-01-01,35310
2017-01-01,34981
2016-01-01,34646
2015-01-01,34307
2014-01-01,33943
2013-01-01,33575
2012-01-01,33212
2011-01-01,32860
2010-01-01,32520
2009-01-01,32174
2008-01-01,31819
2007-01-01,31449
2006-01-01,31060
2005-01-01,30687
2004-01-01,30339
2003-01-01,29994
2002-01-01,29660
2001-01-01,29329
2000-01-01,28988
1999-01-01,28657
1998-01-01,28400
1997-01-01,28135
1996-01-01,27869
1995-01-01,27593
1994-01-01,27310
1993-01-01,27044
1992-01-01,26773
1991-01-01,26499
1990-01-01,26197
1989-01-01,25930
1988-01-01,25660
1987-01-01,25361
1986-01-01,25038
1985-01-01,24713
1984-01-01,24368
1983-01-01,24003
1982-01-01,23652
