date,value
2023-04-01,4.5
2023-01-01,4.4
2022-10-01,4.6
2022-07-01,4.5
2022-04-01,4.6
2022-01-01,4.7
2021-10-01,5.0
2021-07-01,5.4
2021-04-01,7.1
2021-01-01,8.1
2020-10-01,8.1
2020-07-01,7.2
2020-04-01,15.6
2020-01-01,7.3
2019-10-01,5.9
2019-07-01,5.9
2019-04-01,5.8
2019-01-01,5.8
2018-10-01,6.4
2018-07-01,6.3
2018-04-01,6.5
2018-01-01,6.7
2017-10-01,6.3
2017-07-01,7.0
2017-04-01,6.8
2017-01-01,6.9
2016-10-01,7.0
2016-07-01,7.2
2016-04-01,7.4
2016-01-01,7.2
2015-10-01,7.5
2015-07-01,7.5
2015-04-01,7.5
2015-01-01,7.4
2014-10-01,7.3
2014-07-01,7.2
2014-04-01,7.1
2014-01-01,7.1
2013-10-01,7.2
2013-07-01,7.3
2013-04-01,7.1
2013-01-01,7.5
2012-10-01,6.9
2012-07-01,6.9
2012-04-01,7.0
2012-01-01,6.8
2011-10-01,6.9
2011-07-01,6.9
2011-04-01,6.8
2011-01-01,6.4
2010-10-01,7.5
2010-07-01,7.3
2010-04-01,7.3
2010-01-01,7.7
2009-10-01,7.2
2009-07-01,7.1
2009-04-01,7.0
2009-01-01,6.9
2008-10-01,6.6
2008-07-01,6.3
2008-04-01,6.4
2008-01-01,6.1
2007-10-01,6.3
2007-07-01,6.3
2007-04-01,6.1
2007-01-01,6.1
2006-10-01,6.0
2006-07-01,6.1
2006-04-01,5.8
2006-01-01,5.7
2005-10-01,5.7
2005-07-01,5.7
2005-04-01,5.8
2005-01-01,5.9
2004-10-01,5.9
2004-07-01,5.9
2004-04-01,5.8
2004-01-01,5.7
2003-10-01,5.8
2003-07-01,5.5
2003-04-01,5.2
2003-01-01,5.2
