date,value
1990-01-01,50.783
1991-01-01,50.01
1992-01-01,49.681
1993-01-01,51.76
1994-01-01,49.594
1995-01-01,47.492
1996-01-01,45.723
1997-01-01,50.365
1998-01-01,50.319
1999-01-01,51.353
2000-01-01,55.004
2001-01-01,59.018
2002-01-01,62.553
2003-01-01,62.19
2004-01-01,62.593
2005-01-01,62.227
2006-01-01,59.667
2007-01-01,57.498
2008-01-01,57.292
2009-01-01,55.256
2010-01-01,51.592
2011-01-01,51.557
2012-01-01,50.678
2013-01-01,50.312
2014-01-01,49.901
2015-01-01,49.965
2016-01-01,47.634
2017-01-01,47.584
2018-01-01,46.522
