date,value
1991-01-01,6.737
1992-01-01,6.815
1993-01-01,6.798
1994-01-01,6.83
1995-01-01,7.014
1996-01-01,7.181
1997-01-01,7.279
1998-01-01,7.487
1999-01-01,7.709
2000-01-01,7.77
2001-01-01,7.957
2002-01-01,8.102
2003-01-01,8.36
2004-01-01,8.531
2005-01-01,8.7
2006-01-01,8.625
2007-01-01,8.536
2008-01-01,8.354
2009-01-01,8.384
2010-01-01,8.319
2011-01-01,8.168
2012-01-01,8.095
2013-01-01,8.037
2014-01-01,7.981
2015-01-01,7.915
2016-01-01,7.842
2017-01-01,7.733
2018-01-01,7.65
2019-01-01,6.51
2020-01-01,10.195
2021-01-01,7.713
2022-01-01,7.33
