date,value
1991-03-21,3196.8018660263033
1991-06-22,3732.0996446428817
1991-09-23,4013.6914247493437
1991-12-22,3701.9070645814727
1992-03-21,4082.970589679108
1992-06-22,5105.2447529977235
1992-09-23,5209.31617056321
1992-12-22,4512.468486759959
1993-03-21,5912.36340613585
1993-06-22,6641.813062609683
1993-09-23,6219.451999482986
1993-12-22,6111.371531771481
1994-03-21,6090.006190751314
1994-06-22,8055.730498281773
1994-09-23,7998.20701397954
1994-12-22,8270.056296987368
1995-03-21,7767.52052840752
1995-06-22,9381.474004253283
1995-09-23,10297.403229745689
1995-12-22,11143.602237593503
1996-03-20,10182.788967799335
1996-06-21,14365.929047926658
1996-09-22,14406.57028567241
1996-12-21,16970.7116986016
1997-03-21,12054.80656152531
1997-06-22,14779.492496386358
1997-09-23,14511.76971882805
1997-12-22,16771.931223260275
1998-03-21,14994.026623371037
1998-06-22,20247.134807735238
1998-09-23,22585.785667577125
1998-12-22,25945.052901316572
1999-03-21,19187.765366238647
1999-06-22,25155.31158019047
1999-09-23,28113.614933763554
1999-12-22,31858.308119807334
2000-03-20,25842.152361206696
2000-06-21,36175.97001227164
2000-09-22,36759.73574587365
2000-12-21,41628.31722504573
2001-03-21,33942.88309030385
2001-06-22,48180.50220728463
2001-09-23,46000.603384334376
2001-12-22,45955.620636071704
2002-03-21,39597.45390549934
2002-06-22,58706.66565510226
2002-09-23,56498.7167769981
2002-12-22,55272.42992557041
2003-03-21,50731.64154301223
2003-06-22,75585.3342076329
2003-09-23,73365.39436245059
2003-12-22,71360.4921293823
2004-03-20,64603.882671109255
2004-06-21,101734.77885551614
2004-09-22,86657.02392232086
2004-12-21,96962.49730103693
2005-03-21,83542.57228668267
2005-06-22,99237.12847453333
2005-09-23,98354.50833560692
2005-12-22,142582.47002077085
2006-03-21,124155.29068615251
2006-06-22,132529.53910419132
2006-09-23,139163.391925337
2006-12-22,136961.7218148979
2007-03-21,158176.4785917084
2007-06-22,163940.46074647742
2007-06-22,163940.46074647742
2007-09-23,183744.93880407396
2007-12-22,186031.29635867506
2008-03-20,225137.18875955365
2008-06-21,245736.2967849639
2008-09-22,242568.2599592206
2008-12-21,234017.79344631277
2009-03-21,257094.84020282226
2009-06-22,268541.67962845287
2009-09-23,274655.05428226915
2009-12-22,276906.60184613103
2010-03-21,281696.8169241947
2010-06-22,271297.31949379627
2010-09-23,287512.974768324
2010-12-22,301966.3178529453
2011-03-21,337957.652163315
2011-03-21,300577.40609564923
2011-06-22,402641.3431637442
2011-06-22,339751.6827035582
2011-09-23,397313.3056022504
2011-09-23,324736.1891841136
2011-12-22,467049.42646215844
2011-12-22,393088.21354019816
2012-03-20,367233.97918468725
2012-03-20,309155.60245584283
2012-06-21,322777.3675433999
2012-06-21,373047.15954682766
2012-09-22,352367.2914290586
2012-09-22,412179.4581420283
2012-12-21,411532.9541258664
2012-12-21,490102.51134305506
2013-03-21,491595.89574465447
2013-03-21,395130.6540932111
2013-06-22,541523.1003798111
2013-06-22,432293.65578186617
2013-09-23,445595.252249436
2013-09-23,570807.2971299739
2013-12-22,456885.63543358573
2013-12-22,594448.8431368782
2014-03-21,452509.9207195537
2014-03-21,630957.7443757791
2014-06-22,519127.0703230187
2014-06-22,729203.9749931281
2014-09-23,708581.693051341
2014-09-23,522350.8721150608
2014-12-22,494761.494355811
2014-12-22,649768.9583183393
2015-03-21,526611.3296649642
2015-03-21,597340.0841739348
2015-06-22,627707.1563045525
2015-06-22,637000.4876222695
2015-09-23,607456.0228870331
2015-09-23,611188.0648266894
2015-12-22,601116.4910364774
2015-12-22,633986.1511441142
2016-03-20,678803.491120135
2016-03-20,652952.2610920072
2016-06-21,873236.0773760781
2016-06-21,766789.8949233666
2016-09-22,838607.4235058877
2016-09-22,713902.6044982735
2016-12-21,852178.290572603
2016-12-21,956998.5500016382
2017-03-21,807263.873169774
2017-06-22,880229.658000013
2017-09-23,805839.2317239478
2017-12-22,947094.0288070302
2018-03-21,937253.6697479023
2018-06-22,1143213.5992311332
2018-09-23,1262188.0209846934
2018-12-22,1505183.8836179376
2019-03-21,1639145.0637270706
2019-06-22,1845367.6925836965
2019-09-23,1732538.3484843732
2019-12-22,2042055.8554310484
