date,value
1991-03-21,2867.3632174423788
1991-06-22,2560.2496976715283
1991-09-23,2942.921327016556
1991-12-22,2379.749909145962
1992-03-21,2751.665193929085
1992-06-22,4446.56709282956
1992-09-23,3971.4133366068186
1992-12-22,2345.9118989480335
1993-03-21,8396.30748598951
1993-06-22,2738.3885013061345
1993-09-23,5540.708071268931
1993-12-22,6972.1223889556495
1994-03-21,5179.854251577926
1994-06-22,6538.78526398756
1994-09-23,5537.2563313349165
1994-12-22,6645.688235879301
1995-03-21,8306.05691296103
1995-06-22,6951.12437569943
1995-09-23,5910.144692456743
1995-12-22,5144.50796478913
1996-03-20,8515.226050398709
1996-06-21,8183.203497019518
1996-09-22,9186.267618159862
1996-12-21,9246.687985901559
1997-03-21,8590.067377086649
1997-06-22,8166.488039606112
1997-09-23,10744.420735669639
1997-12-22,8963.12118143241
1998-03-21,14786.372756093831
1998-06-22,15098.954731034446
1998-09-23,14650.930830675956
1998-12-22,13080.994583001031
1999-03-21,15500.144917389249
1999-06-22,17811.438374466292
1999-09-23,18034.105723294044
1999-12-22,17109.180916772308
2000-03-20,22643.179146428265
2000-06-21,27006.823193342145
2000-09-22,27442.768741899312
2000-12-21,23197.73033777037
2001-03-21,27355.234115668158
2001-06-22,30428.003430235527
2001-09-23,30176.21375443962
2001-12-22,38516.16525233069
2002-03-21,47478.34017161275
2002-06-22,70019.22514190547
2002-09-23,69237.42408430904
2002-12-22,61776.812923099096
2003-03-21,74264.28866517857
2003-06-22,76062.09463158397
2003-09-23,79027.90401770052
2003-12-22,79519.68794752649
2004-03-20,89118.40304773266
2004-06-21,96729.70580291755
2004-09-22,121646.5590018083
2004-12-21,121678.5036624563
2005-03-21,115072.01041207687
2005-06-22,141492.604833639
2005-09-23,116464.94515943414
2005-12-22,125868.42388859925
2006-03-21,128779.92231290009
2006-06-22,143142.6378462153
2006-09-23,135634.65957331183
2006-12-22,144727.21457112816
2007-03-21,148412.4167326549
2007-06-22,147344.189663403
2007-06-22,147345.6141262878
2007-09-23,161101.225922501
2007-12-22,185498.06416340102
2008-03-20,178992.48609322406
2008-06-21,222590.31298500966
2008-09-22,190510.19856628595
2008-12-21,196229.2680252182
2009-03-21,179834.7545851345
2009-06-22,176362.3450361402
2009-09-23,186409.84278995197
2009-12-22,241080.00588498908
2010-03-21,210574.2898512447
2010-06-22,242294.86512748204
2010-09-23,242968.69228275013
2010-12-22,229116.88744982943
2011-03-21,219166.96907387805
2011-03-21,211534.29445762176
2011-06-22,246456.67551392896
2011-06-22,237972.98744444098
2011-09-23,220695.3391405697
2011-09-23,213431.44184636167
2011-12-22,241131.39375162346
2011-12-22,234454.0141428537
2012-03-20,234449.25389179416
2012-03-20,227297.16492027897
2012-06-21,245856.27629672282
2012-06-21,251712.8747708229
2012-09-22,263471.3771090716
2012-09-22,266438.42816742806
2012-12-21,399260.4757467009
2012-12-21,397630.66074995475
2013-03-21,372715.29866339336
2013-03-21,368741.2939431584
2013-06-22,399743.2669211854
2013-06-22,394731.41712638416
2013-09-23,443797.55089475407
2013-09-23,455304.17789492983
2013-12-22,525212.3439242723
2013-12-22,555479.9017404914
2014-03-21,415337.94865030085
2014-03-21,469807.40020294354
2014-06-22,434607.2799042601
2014-06-22,493074.65039552026
2014-09-23,459940.0788251844
2014-09-23,406119.3394097348
2014-12-22,475023.2212144803
2014-12-22,561646.9665463516
2015-03-21,382059.98183072516
2015-03-21,403454.9906871612
2015-06-22,395615.4111411994
2015-06-22,400576.53198025166
2015-09-23,374064.10912681714
2015-09-23,382576.3922716966
2015-12-22,432200.77638395317
2015-12-22,449663.3951108908
2016-03-20,395786.0249136602
2016-03-20,458503.04932107613
2016-06-21,443289.52000971447
2016-06-21,524450.892875671
2016-09-22,463155.1924136633
2016-09-22,573456.693218468
2016-12-21,583296.5693147846
2016-12-21,514986.0220700899
2017-03-21,606019.3461506867
2017-06-22,661756.1471230829
2017-09-23,685674.950832185
2017-12-22,764744.7234857064
2018-03-21,718517.653570904
2018-06-22,811108.8821787535
2018-09-23,654362.8788103074
2018-12-22,654309.5961423055
2019-03-21,707361.267999911
2019-06-22,735156.4543707205
2019-09-23,661715.9325702918
2019-12-22,758674.1467578341
