date,value
1991-01-01,635.57
1991-02-01,662.65
1991-03-01,742.13
1991-04-01,709.70
1991-05-01,688.51
1991-06-01,767.70
1991-07-01,793.50
1991-08-01,741.20
1991-09-01,764.46
1991-10-01,756.88
1991-11-01,751.08
1991-12-01,826.13
1992-01-01,662.37
1992-02-01,714.90
1992-03-01,898.46
1992-04-01,666.45
1992-05-01,811.71
1992-06-01,835.57
1992-07-01,851.13
1992-08-01,913.09
1992-09-01,873.34
1992-10-01,860.36
1992-11-01,824.14
1992-12-01,912.80
1993-01-01,790.44
1993-02-01,842.71
1993-03-01,842.46
1993-04-01,861.73
1993-05-01,932.14
1993-06-01,914.44
1993-07-01,998.17
1993-08-01,994.50
1993-09-01,1018.30
1993-10-01,1012.52
1993-11-01,1163.36
1993-12-01,1004.05
1994-01-01,951.62
1994-02-01,927.01
1994-03-01,1057.67
1994-04-01,965.79
1994-05-01,1083.86
1994-06-01,1125.27
1994-07-01,1217.56
1994-08-01,1178.01
1994-09-01,1239.74
1994-10-01,1299.34
1994-11-01,1128.46
1994-12-01,1308.55
1995-01-01,1160.75
1995-02-01,1263.77
1995-03-01,1298.58
1995-04-01,1377.42
1995-05-01,1400.58
1995-06-01,1521.69
1995-07-01,1592.69
1995-08-01,1591.45
1995-09-01,1594.97
1995-10-01,1601.65
1995-11-01,1422.63
1995-12-01,1621.01
1996-01-01,1420.45
1996-02-01,1594.01
1996-03-01,1670.60
1996-04-01,1491.87
1996-05-01,1612.18
1996-06-01,1793.39
1996-07-01,1693.69
1996-08-01,1773.89
1996-09-01,1875.57
1996-10-01,1883.71
1996-11-01,1849.91
1996-12-01,1883.27
1997-01-01,1692.26
1997-02-01,1812.42
1997-03-01,2001.02
1997-04-01,2082.43
1997-05-01,1982.88
1997-06-01,2129.08
1997-07-01,2067.14
1997-08-01,2257.97
1997-09-01,2337.47
1997-10-01,2326.05
1997-11-01,2308.43
1997-12-01,2230.56
1998-01-01,2114.81
1998-02-01,2227.20
1998-03-01,2474.18
1998-04-01,2284.50
1998-05-01,2414.74
1998-06-01,2389.57
1998-07-01,2501.37
1998-08-01,2652.45
1998-09-01,2786.32
1998-10-01,2542.30
1998-11-01,2585.82
1998-12-01,2523.08
1999-01-01,2580.78
1999-02-01,2569.33
1999-03-01,2702.33
1999-04-01,2345.95
1999-05-01,2746.90
1999-06-01,2857.20
1999-07-01,2851.06
