date,value
1991-01-01,72.93
1992-01-01,73.707
1993-01-01,73.42
1994-01-01,73.356
1995-01-01,73.696
1996-01-01,73.871
1997-01-01,74.129
1998-01-01,71.098
1999-01-01,70.424
2000-01-01,70.923
2001-01-01,71.268
2002-01-01,71.745
2003-01-01,71.856
2004-01-01,72.282
2005-01-01,72.685
2006-01-01,72.06
2007-01-01,72.712
2008-01-01,72.534
2009-01-01,71.666
2010-01-01,71.146
2011-01-01,72.796
2012-01-01,72.577
2013-01-01,70.094
2014-01-01,69.425
2015-01-01,68.825
2016-01-01,67.779
2017-01-01,66.94
2018-01-01,67.278
2019-01-01,66.478
2020-01-01,66.283
2021-01-01,66.237
2022-01-01,65.859
