date,value
1960-01-01,445713385.85
1961-01-01,525964896.826
1962-01-01,519061302.682
1963-01-01,535813730.197
1964-01-01,674951922.434
1965-01-01,739759614.68
1966-01-01,929903845.269
1967-01-01,1024038460.564
1968-01-01,1030048075.943
1969-01-01,1075384614.361
1970-01-01,1064423075.91
1971-01-01,1179182691.283
1972-01-01,1487497890.897
1973-01-01,2016289601.593
1974-01-01,2958365442.237
1975-01-01,2732924261.059
1976-01-01,3436992463.408
1977-01-01,3947627142.027
1978-01-01,4773874419.688
1979-01-01,6178088702.917
1980-01-01,7800900755.957
1981-01-01,8309867791.594
1982-01-01,8385609865.938
1983-01-01,8053089804.473
1984-01-01,9154262855.107
1985-01-01,9030266953.998
1986-01-01,11033548591.119
1987-01-01,14601717227.638
1988-01-01,20357574581.61
1989-01-01,25231064927.796
1990-01-01,29129276140.852
1991-01-01,35329436383.113
1992-01-01,41206839342.946
1993-01-01,47453533006.631
1994-01-01,56094978083.849
1995-01-01,70305504597.091
1996-01-01,71417458440.743
1997-01-01,72442633951.342
1998-01-01,65860573974.893
1999-01-01,71490257697.247
2000-01-01,81953034439.323
2001-01-01,76088350937.052
2002-01-01,81447793591.338
2003-01-01,93686920894.773
2004-01-01,114062494989.67
2005-01-01,129498934315.256
2006-01-01,152293267389.448
2007-01-01,181094567930.468
2008-01-01,208095291266.919
2009-01-01,181530420681.031
2010-01-01,226787505595.978
2011-01-01,262743279052.683
2012-01-01,274121380568.374
2013-01-01,282342915167.301
2014-01-01,278596010858.02
2015-01-01,271423496359.611
2016-01-01,277248462188.997
2017-01-01,304266013230.081
2018-01-01,328569787298.75
2019-01-01,323768894485.814
2020-01-01,257709983263.592
2021-01-01,296454961338.562
2022-01-01,325859926389.325
