date,value
1961-01-01,5.362
1962-01-01,7.554
1963-01-01,8.0
1964-01-01,6.831
1965-01-01,8.182
1966-01-01,11.123
1967-01-01,8.616
1968-01-01,8.122
1969-01-01,6.551
1970-01-01,11.408
1971-01-01,4.895
1972-01-01,4.279
1973-01-01,10.236
1974-01-01,4.466
1975-01-01,4.97
1976-01-01,9.327
1977-01-01,9.843
1978-01-01,10.296
1979-01-01,5.372
1980-01-01,5.174
1981-01-01,5.907
1982-01-01,5.352
1983-01-01,5.584
1984-01-01,5.752
1985-01-01,4.647
1986-01-01,5.534
1987-01-01,9.519
1988-01-01,13.288
1989-01-01,12.191
1990-01-01,11.167
1991-01-01,8.558
1992-01-01,8.083
1993-01-01,8.252
1994-01-01,7.997
1995-01-01,8.12
1996-01-01,5.652
1997-01-01,-2.754
1998-01-01,-7.634
1999-01-01,4.572
2000-01-01,4.455
2001-01-01,3.444
2002-01-01,6.149
2003-01-01,7.189
2004-01-01,6.289
2005-01-01,4.188
2006-01-01,4.968
2007-01-01,5.435
2008-01-01,1.726
2009-01-01,-0.691
2010-01-01,7.513
2011-01-01,0.84
2012-01-01,7.243
2013-01-01,2.687
2014-01-01,0.984
2015-01-01,3.134
2016-01-01,3.435
2017-01-01,4.178
2018-01-01,4.223
2019-01-01,2.115
2020-01-01,-6.067
2021-01-01,1.492
2022-01-01,2.595
