date,value
1960-01-01,480790713.007
1961-01-01,519126783.324
1962-01-01,584003831.418
1963-01-01,650552088.334
1964-01-01,730192306.997
1965-01-01,792692306.938
1966-01-01,947403845.252
1967-01-01,1139615383.531
1968-01-01,1257644229.572
1969-01-01,1343124998.721
1970-01-01,1373509614.077
1971-01-01,1387451921.872
1972-01-01,1568843929.404
1973-01-01,2172743953.62
1974-01-01,3282633744.854
1975-01-01,3419308039.921
1976-01-01,3856500150.806
1977-01-01,5019533498.689
1978-01-01,5788768984.57
1979-01-01,8019026906.188
1980-01-01,9824991636.618
1981-01-01,10496074509.532
1982-01-01,9012215400.173
1983-01-01,10920988378.523
1984-01-01,10937559165.752
1985-01-01,10091466552.294
1986-01-01,10157503769.15
1987-01-01,14318699787.623
1988-01-01,21214461782.938
1989-01-01,27083485523.761
1990-01-01,35545810550.52
1991-01-01,41756458169.748
1992-01-01,45675753803.775
1993-01-01,52752864010.855
1994-01-01,63084057060.17
1995-01-01,81632777715.774
1996-01-01,82833929285.099
1997-01-01,70306577147.79
1998-01-01,48088381386.209
1999-01-01,56073604978.73
2000-01-01,71358148029.745
2001-01-01,68589774463.842
2002-01-01,72957609874.283
2003-01-01,84013624327.411
2004-01-01,106227137499.415
2005-01-01,131483811032.126
2006-01-01,145055657932.82
2007-01-01,160397503723.91
2008-01-01,201114265804.911
2009-01-01,154464209585.451
2010-01-01,207270092301.876
2011-01-01,255199299919.541
2012-01-01,273216805170.871
2013-01-01,274440608866.116
2014-01-01,254633172378.758
2015-01-01,229553376551.137
2016-01-01,221168948848.867
2017-01-01,247430251923.743
2018-01-01,283801452608.087
2019-01-01,272916503123.995
2020-01-01,231735691448.588
2021-01-01,296290374772.569
2022-01-01,337467665324.374
