date,value
1960-01-01,26596584.0
1961-01-01,27399963.0
1962-01-01,28242174.0
1963-01-01,29114124.0
1964-01-01,30013573.0
1965-01-01,30940270.0
1966-01-01,31883754.0
1967-01-01,32839341.0
1968-01-01,33807357.0
1969-01-01,34787583.0
1970-01-01,35791728.0
1971-01-01,36807997.0
1972-01-01,37834384.0
1973-01-01,38873060.0
1974-01-01,39900961.0
1975-01-01,40908471.0
1976-01-01,41882128.0
1977-01-01,42843802.0
1978-01-01,43806715.0
1979-01-01,44760091.0
1980-01-01,45737753.0
1981-01-01,46727292.0
1982-01-01,47700340.0
1983-01-01,48670565.0
1984-01-01,49636724.0
1985-01-01,50594940.0
1986-01-01,51542094.0
1987-01-01,52479181.0
1988-01-01,53410965.0
1989-01-01,54324004.0
1990-01-01,55228410.0
1991-01-01,56099865.0
1992-01-01,56939020.0
1993-01-01,57776082.0
1994-01-01,58610010.0
1995-01-01,59424834.0
1996-01-01,60211096.0
1997-01-01,60989108.0
1998-01-01,61745217.0
1999-01-01,62442651.0
2000-01-01,63066603.0
2001-01-01,63649892.0
2002-01-01,64222580.0
2003-01-01,64776956.0
2004-01-01,65311166.0
2005-01-01,65821360.0
2006-01-01,66319525.0
2007-01-01,66826754.0
2008-01-01,67328239.0
2009-01-01,67813654.0
2010-01-01,68270489.0
2011-01-01,68712846.0
2012-01-01,69157023.0
2013-01-01,69578602.0
2014-01-01,69960943.0
2015-01-01,70294397.0
2016-01-01,70607037.0
2017-01-01,70898202.0
2018-01-01,71127802.0
2019-01-01,71307763.0
2020-01-01,71475664.0
2021-01-01,71601103.0
2022-01-01,71697030.0
