date,value
1984-01-01,588.346
1985-01-01,596.397
1986-01-01,598.915
1987-01-01,606.414
1988-01-01,623.548
1989-01-01,654.858
1990-01-01,673.385
1991-01-01,698.43
1992-01-01,743.268
1993-01-01,787.61
1994-01-01,841.564
1995-01-01,906.13
1996-01-01,975.067
1997-01-01,1039.135
1998-01-01,1083.791
1999-01-01,1121.06
2000-01-01,1183.854
2001-01-01,1244.307
2002-01-01,1309.43
2003-01-01,1385.449
2004-01-01,1474.741
2005-01-01,1570.193
2006-01-01,1663.56
2007-01-01,1765.123
2008-01-01,1846.867
2009-01-01,1926.624
2010-01-01,2028.606
2011-01-01,2135.782
2012-01-01,2229.32
2013-01-01,2327.933
2014-01-01,2451.159
2015-01-01,2595.235
2016-01-01,2741.053
2017-01-01,2903.028
2018-01-01,3090.772
2019-01-01,3288.353
2020-01-01,3352.06
2021-01-01,3409.025
2022-01-01,3655.463
