date,value
1986-01-01,4370865661.273
1987-01-01,5424365692.097
1988-01-01,3814891103.644
1989-01-01,2143191577.092
1990-01-01,2930215540.329
1991-01-01,3463880947.354
1992-01-01,3831479524.701
1993-01-01,4941471554.061
1994-01-01,7078095299.829
1995-01-01,8690196941.362
1996-01-01,12781756977.576
1997-01-01,13755189203.824
1998-01-01,14190608828.55
1999-01-01,15151041598.865
2000-01-01,17922825684.091
2001-01-01,18595918552.139
2002-01-01,21724925553.847
2003-01-01,26759132794.24
2004-01-01,33292010669.376
2005-01-01,38623129995.218
2006-01-01,46856276474.358
2007-01-01,65095862341.956
2008-01-01,83250410219.448
2009-01-01,76433848843.399
2010-01-01,88029013901.636
2011-01-01,110599636758.127
2012-01-01,116865796043.787
2013-01-01,136871751306.722
2014-01-01,153638954038.207
2015-01-01,172245363449.152
2016-01-01,183315160576.128
2017-01-01,222881465516.599
2018-01-01,248830929052.896
2019-01-01,265976295982.435
2020-01-01,273355955441.647
2021-01-01,341154307835.647
