date,value
1991-01-01,57.091
1992-01-01,56.115
1993-01-01,55.662
1994-01-01,56.813
1995-01-01,58.158
1996-01-01,58.114
1997-01-01,57.843
1998-01-01,58.162
1999-01-01,58.448
2000-01-01,59.175
2001-01-01,59.034
2002-01-01,59.324
2003-01-01,59.819
2004-01-01,60.04
2005-01-01,61.161
2006-01-01,61.664
2007-01-01,62.325
2008-01-01,62.71
2009-01-01,61.792
2010-01-01,61.983
2011-01-01,62.097
2012-01-01,61.749
2013-01-01,61.264
2014-01-01,60.766
2015-01-01,61.068
2016-01-01,61.166
2017-01-01,61.527
2018-01-01,62.152
2019-01-01,62.547
2020-01-01,60.829
2021-01-01,62.478
2022-01-01,63.96
