date,value
1960-01-01,204995471189.354
1961-01-01,210084803713.297
1962-01-01,212804585217.598
1963-01-01,226032746661.201
1964-01-01,241809970565.327
1965-01-01,256271265702.825
1966-01-01,262368060394.983
1967-01-01,278910222847.194
1968-01-01,293118003868.181
1969-01-01,313769879266.95
1970-01-01,336285742851.857
1971-01-01,349740308520.899
1972-01-01,363416149517.068
1973-01-01,372935384782.122
1974-01-01,388251740538.025
1975-01-01,393439987529.393
1976-01-01,403625246875.107
1977-01-01,418134900196.679
1978-01-01,421869470866.782
1979-01-01,438955296539.95
1980-01-01,452280174351.701
1981-01-01,467384047177.581
1982-01-01,482923876359.888
1983-01-01,472181032497.802
1984-01-01,493862351057.547
1985-01-01,519929610372.882
1986-01-01,540551445081.544
1987-01-01,554385549225.594
1988-01-01,586303416114.162
1989-01-01,609025168331.264
1990-01-01,630806866757.952
1991-01-01,628390422953.754
1992-01-01,631083827266.741
1993-01-01,656626473554.846
1994-01-01,682766270146.292
1995-01-01,709306120805.989
1996-01-01,736662931696.639
1997-01-01,765487340203.969
1998-01-01,800802003173.879
1999-01-01,840492349102.757
2000-01-01,873281396004.422
2001-01-01,891108713833.396
2002-01-01,926695941113.543
2003-01-01,955529142017.977
2004-01-01,995820301748.99
2005-01-01,1027226011506.23
2006-01-01,1055378534334.83
2007-01-01,1095249857104.1
2008-01-01,1134331329533.5
2009-01-01,1155548849145.99
2010-01-01,1181046800748.81
2011-01-01,1209290178347.49
2012-01-01,1256476775507.65
2013-01-01,1288878224236.96
2014-01-01,1322118614189.98
2015-01-01,1350580336316.75
2016-01-01,1387458580571.73
2017-01-01,1419122933343.79
2018-01-01,1460036887869.7
2019-01-01,1491740073728.97
2020-01-01,1490980996778.96
2021-01-01,1524322499298.68
2022-01-01,1579466215838.34
