date,value
1960-01-01,2611840418.208
1961-01-01,2952320472.726
1962-01-01,2512160402.247
1963-01-01,2974720476.312
1964-01-01,3270400523.657
1965-01-01,3959200633.947
1966-01-01,4124960660.489
1967-01-01,4222400676.091
1968-01-01,4730880757.509
1969-01-01,4883200781.898
1970-01-01,5455520873.538
1971-01-01,5839680935.05
1972-01-01,6220794392.523
1973-01-01,7022421524.664
1974-01-01,11737656595.431
1975-01-01,14315171377.851
1976-01-01,14038086378.333
1977-01-01,16144757972.012
1978-01-01,17265406487.666
1979-01-01,20687265704.873
1980-01-01,23827298050.139
1981-01-01,29570416811.796
1982-01-01,32610614586.781
1983-01-01,27657817241.142
1984-01-01,28996252254.471
1985-01-01,31190677253.46
1986-01-01,32912702853.945
1987-01-01,32314716781.366
1988-01-01,39231426856.405
1989-01-01,50821249482.606
1990-01-01,53060666980.887
1991-01-01,52680246836.871
1992-01-01,53341639124.893
1993-01-01,55746908375.492
1994-01-01,59676236596.334
1995-01-01,73019750519.75
1996-01-01,77631210400.095
1997-01-01,82133247074.076
1998-01-01,81674014786.678
1999-01-01,80794585787.693
2000-01-01,89663275222.957
2001-01-01,83770452067.5
2002-01-01,82017017769.9
2003-01-01,98900407687.828
2004-01-01,121992459809.361
2005-01-01,145652868456.563
2006-01-01,162450773691.211
2007-01-01,186601240480.49
2008-01-01,239715297180.949
2009-01-01,211106537110.352
2010-01-01,237995655264.869
2011-01-01,285356821317.912
2012-01-01,335184288361.709
2013-01-01,335587844720.791
2014-01-01,313702749830.67
2015-01-01,291118096721.551
2016-01-01,260021266913.341
2017-01-01,274846204040.17
2018-01-01,307307879678.436
2019-01-01,301765963636.235
2020-01-01,268376555511.615
2021-01-01,276301614412.029
2022-01-01,334107672636.991
