date,value
1960-01-01,3.729
1961-01-01,2.288
1962-01-01,-0.319
1963-01-01,0.641
1964-01-01,2.866
1965-01-01,3.406
1966-01-01,3.293
1967-01-01,3.478
1968-01-01,2.521
1969-01-01,3.279
1970-01-01,3.439
1971-01-01,6.138
1972-01-01,6.024
1973-01-01,9.091
1974-01-01,15.417
1975-01-01,15.162
1976-01-01,13.323
1977-01-01,12.31
1978-01-01,8.005
1979-01-01,9.122
1980-01-01,10.136
1981-01-01,9.488
1982-01-01,11.352
1983-01-01,10.039
1984-01-01,3.96
1985-01-01,6.735
1986-01-01,9.05
1987-01-01,8.533
1988-01-01,7.216
1989-01-01,7.534
1990-01-01,7.333
1991-01-01,3.177
1992-01-01,1.012
1993-01-01,1.754
1994-01-01,1.97
1995-01-01,4.628
1996-01-01,2.615
1997-01-01,0.225
1998-01-01,0.86
1999-01-01,1.483
2000-01-01,4.457
2001-01-01,4.407
2002-01-01,2.982
2003-01-01,2.733
2004-01-01,2.343
2005-01-01,2.692
2006-01-01,3.555
2007-01-01,2.328
2008-01-01,4.35
2009-01-01,1.771
2010-01-01,2.918
2011-01-01,3.304
2012-01-01,1.763
2013-01-01,2.45
2014-01-01,2.488
2015-01-01,1.508
2016-01-01,1.277
2017-01-01,1.949
2018-01-01,1.911
2019-01-01,1.611
2020-01-01,0.847
2021-01-01,2.864
2022-01-01,6.594
