date,value
1960-01-01,10276477.0
1961-01-01,10483000.0
1962-01-01,10742000.0
1963-01-01,10950000.0
1964-01-01,11167000.0
1965-01-01,11388000.0
1966-01-01,11651000.0
1967-01-01,11799000.0
1968-01-01,12009000.0
1969-01-01,12263000.0
1970-01-01,12507000.0
1971-01-01,12937000.0
1972-01-01,13177000.0
1973-01-01,13380000.0
1974-01-01,13723000.0
1975-01-01,13893000.0
1976-01-01,14033000.0
1977-01-01,14192000.0
1978-01-01,14358000.0
1979-01-01,14514000.0
1980-01-01,14692000.0
1981-01-01,14923260.0
1982-01-01,15184247.0
1983-01-01,15393472.0
1984-01-01,15579391.0
1985-01-01,15788312.0
1986-01-01,16018350.0
1987-01-01,16263874.0
1988-01-01,16532164.0
1989-01-01,16814416.0
1990-01-01,17065128.0
1991-01-01,17284036.0
1992-01-01,17478635.0
1993-01-01,17634808.0
1994-01-01,17805468.0
1995-01-01,18004882.0
1996-01-01,18224767.0
1997-01-01,18423037.0
1998-01-01,18607584.0
1999-01-01,18812264.0
2000-01-01,19028802.0
2001-01-01,19274701.0
2002-01-01,19495210.0
2003-01-01,19720737.0
2004-01-01,19932722.0
2005-01-01,20176844.0
2006-01-01,20450966.0
2007-01-01,20827622.0
2008-01-01,21249199.0
2009-01-01,21691653.0
2010-01-01,22031750.0
2011-01-01,22340024.0
2012-01-01,22733465.0
2013-01-01,23128129.0
2014-01-01,23475686.0
2015-01-01,23815995.0
2016-01-01,24190907.0
2017-01-01,24594202.0
2018-01-01,24966643.0
2019-01-01,25340217.0
2020-01-01,25655289.0
2021-01-01,25688079.0
2022-01-01,25978935.0
