date,value
1991-01-01,9.58
1992-01-01,10.73
1993-01-01,10.87
1994-01-01,9.72
1995-01-01,8.47
1996-01-01,8.51
1997-01-01,8.36
1998-01-01,7.68
1999-01-01,6.87
2000-01-01,6.28
2001-01-01,6.74
2002-01-01,6.37
2003-01-01,5.93
2004-01-01,5.39
2005-01-01,5.03
2006-01-01,4.78
2007-01-01,4.38
2008-01-01,4.23
2009-01-01,5.56
2010-01-01,5.21
2011-01-01,5.08
2012-01-01,5.22
2013-01-01,5.66
2014-01-01,6.08
2015-01-01,6.05
2016-01-01,5.71
2017-01-01,5.59
2018-01-01,5.3
2019-01-01,5.16
2020-01-01,6.46
2021-01-01,5.12
2022-01-01,3.661
