date,value
1960-01-01,427347691.355
1961-01-01,519448521.029
1962-01-01,546086853.304
1963-01-01,531067333.068
1964-01-01,540135770.208
1965-01-01,570741539.825
1966-01-01,662275557.022
1967-01-01,675028035.682
1968-01-01,623451537.731
1969-01-01,690047514.252
1970-01-01,747575116.133
1971-01-01,550621082.291
1972-01-01,356841000.0
1973-01-01,528824097.16
1974-01-01,463095606.327
1975-01-01,563045020.279
1976-01-01,480166471.38
1977-01-01,679513484.163
1978-01-01,738155879.63
1979-01-01,950929356.11
1980-01-01,996555891.473
1981-01-01,1038984088.127
1982-01-01,940219560.878
1983-01-01,986784511.785
1984-01-01,642600000.0
1985-01-01,1199576923.077
1986-01-01,1128533333.333
1987-01-01,1212483870.968
1988-01-01,1442788426.255
1989-01-01,1594548362.408
1990-01-01,1866930004.592
1991-01-01,2062577030.812
1992-01-01,2405649867.374
1993-01-01,2990714285.714
1994-01-01,3039700748.13
1995-01-01,4122014925.373
1996-01-01,4507555012.225
1997-01-01,5075480093.677
1998-01-01,5876850220.264
1999-01-01,6028722961.73
2000-01-01,6588073941.562
2001-01-01,7227575982.209
2002-01-01,6791241511.405
2003-01-01,6876856649.396
2004-01-01,7257329709.529
2005-01-01,9994813008.13
2006-01-01,11744907683.145
2007-01-01,13530306979.438
2008-01-01,16181037749.599
2009-01-01,17359871971.536
2010-01-01,18472449276.054
2011-01-01,25627355570.374
2012-01-01,26886652094.445
2013-01-01,29304960774.046
2014-01-01,32830355848.154
2015-01-01,33820136017.272
2016-01-01,36924100099.589
2017-01-01,37658617984.751
2018-01-01,40734127424.735
2019-01-01,45993811115.033
2020-01-01,39045813927.662
2021-01-01,44385395497.247
2022-01-01,59284134887.918
