date,value
1991-01-01,59.579
1992-01-01,59.646
1993-01-01,59.997
1994-01-01,59.817
1995-01-01,59.521
1996-01-01,57.309
1997-01-01,57.542
1998-01-01,56.923
1999-01-01,56.853
2000-01-01,57.528
2001-01-01,57.741
2002-01-01,58.525
2003-01-01,58.053
2004-01-01,59.249
2005-01-01,59.541
2006-01-01,59.815
2007-01-01,59.733
2008-01-01,60.196
2009-01-01,59.604
2010-01-01,59.362
2011-01-01,58.477
2012-01-01,59.165
2013-01-01,59.215
2014-01-01,59.217
2015-01-01,58.247
2016-01-01,56.027
2017-01-01,55.542
2018-01-01,55.903
2019-01-01,56.569
2020-01-01,51.324
2021-01-01,53.651
2022-01-01,57.161
