date,value
1960-01-01,188463840496.582
1961-01-01,204671730779.288
1962-01-01,218180065010.721
1963-01-01,219489145400.785
1964-01-01,226951776344.412
1965-01-01,232398618976.678
1966-01-01,247969326448.115
1967-01-01,258384038158.936
1968-01-01,283705673898.512
1969-01-01,310657712918.87
1970-01-01,342966115062.433
1971-01-01,381868493957.042
1972-01-01,427464921481.797
1973-01-01,487176307069.309
1974-01-01,526900364433.503
1975-01-01,554123457286.432
1976-01-01,610960618082.94
1977-01-01,641107419356.367
1978-01-01,672969802176.552
1979-01-01,718459600557.855
1980-01-01,784557883809.176
1981-01-01,751214173747.29
1982-01-01,757449251389.389
1983-01-01,735255988323.68
1984-01-01,774959811693.158
1985-01-01,835794156911.074
1986-01-01,898395139263.712
1987-01-01,930108487679.72
1988-01-01,929550422587.113
1989-01-01,958924215940.868
1990-01-01,917211012547.438
1991-01-01,926678369095.948
1992-01-01,921636571098.365
1993-01-01,967024315185.755
1994-01-01,1023622994724.43
1995-01-01,1066858717606.69
1996-01-01,1090424176288.36
1997-01-01,1127442397670.8
1998-01-01,1131254256754.65
1999-01-01,1136547820394.37
2000-01-01,1186418964199.44
2001-01-01,1202908958683.12
2002-01-01,1239639324936.12
2003-01-01,1253781489828.69
2004-01-01,1325998860264.43
2005-01-01,1368459094901.49
2006-01-01,1422677289759.23
2007-01-01,1509031960399.71
2008-01-01,1585904997813.94
2009-01-01,1583909738983.82
2010-01-01,1703150040890.25
2011-01-01,1770840429193.0
2012-01-01,1804861390264.88
2013-01-01,1859094274471.61
2014-01-01,1868463286784.32
2015-01-01,1802211999555.59
2016-01-01,1743173031947.35
2017-01-01,1766232928545.43
2018-01-01,1797736638224.93
2019-01-01,1819683008431.26
2020-01-01,1760056385384.55
2021-01-01,1847862953098.26
2022-01-01,1901460783780.31
