date,value
1960-01-01,2578.429
1961-01-01,2717.001
1962-01-01,2811.627
1963-01-01,2746.513
1964-01-01,2758.863
1965-01-01,2746.258
1966-01-01,2850.901
1967-01-01,2892.684
1968-01-01,3095.222
1969-01-01,3304.856
1970-01-01,3558.852
1971-01-01,3866.385
1972-01-01,4224.196
1973-01-01,4699.439
1974-01-01,4962.922
1975-01-01,5097.708
1976-01-01,5489.979
1977-01-01,5626.716
1978-01-01,5768.426
1979-01-01,6014.867
1980-01-01,6415.637
1981-01-01,6001.644
1982-01-01,5914.564
1983-01-01,5613.611
1984-01-01,5788.087
1985-01-01,6110.358
1986-01-01,6433.497
1987-01-01,6528.623
1988-01-01,6399.484
1989-01-01,6479.068
1990-01-01,6086.077
1991-01-01,6043.432
1992-01-01,5911.686
1993-01-01,6103.377
1994-01-01,6358.678
1995-01-01,6524.518
1996-01-01,6567.352
1997-01-01,6689.199
1998-01-01,6613.982
1999-01-01,6551.226
2000-01-01,6745.857
2001-01-01,6749.881
2002-01-01,6868.695
2003-01-01,6865.172
2004-01-01,7178.347
2005-01-01,7325.903
2006-01-01,7534.542
2007-01-01,7909.824
2008-01-01,8231.099
2009-01-01,8142.76
2010-01-01,8673.897
2011-01-01,8935.276
2012-01-01,9025.313
2013-01-01,9216.131
2014-01-01,9183.459
2015-01-01,8783.214
2016-01-01,8426.842
2017-01-01,8470.94
2018-01-01,8553.865
2019-01-01,8592.21
2020-01-01,8255.567
2021-01-01,8621.731
2022-01-01,8831.127
