date,value
1960-01-01,1078651437.233
1961-01-01,1118302726.085
1962-01-01,1033970196.044
1963-01-01,2097486800.991
1964-01-01,1204326396.15
1965-01-01,1210637974.354
1966-01-01,1621508461.202
1967-01-01,1764834054.998
1968-01-01,2239326014.745
1969-01-01,2454948720.199
1970-01-01,3153304260.315
1971-01-01,4004245613.853
1972-01-01,5177234171.786
1973-01-01,7532763884.772
1974-01-01,14596797400.187
1975-01-01,14233481672.823
1976-01-01,14401534168.392
1977-01-01,13948797699.938
1978-01-01,15791774010.835
1979-01-01,20642227950.389
1980-01-01,26571483279.66
1981-01-01,25827534749.12
1982-01-01,23307743170.814
1983-01-01,18314364418.708
1984-01-01,16563864377.18
1985-01-01,15818492520.623
1986-01-01,17038985025.843
1987-01-01,18211637169.838
1988-01-01,18780447289.517
1989-01-01,22554535409.386
1990-01-01,32355638464.141
1991-01-01,32269476008.843
1992-01-01,32749252757.096
1993-01-01,39867937219.565
1994-01-01,50043840137.651
1995-01-01,72744966690.883
1996-01-01,75733720724.306
1997-01-01,84722106138.73
1998-01-01,81258662205.052
1999-01-01,68462744050.686
2000-01-01,81614529574.0
2001-01-01,81559242939.934
2002-01-01,68250203686.393
2003-01-01,72344863379.467
2004-01-01,87894359747.447
2005-01-01,105595890458.826
2006-01-01,129231057113.261
2007-01-01,167163829315.164
2008-01-01,232731883263.955
2009-01-01,187613839415.943
2010-01-01,262997371069.686
2011-01-01,323144851737.729
2012-01-01,326315725197.661
2013-01-01,347275992581.917
2014-01-01,335826235513.484
2015-01-01,253272683237.966
2016-01-01,216686360905.179
2017-01-01,243510550209.055
2018-01-01,272994437643.866
2019-01-01,276634806871.966
2020-01-01,233941255892.282
2021-01-01,307155678548.53
2022-01-01,370471985736.716
