date,value
1981-01-01,101.725
1982-01-01,100.543
1983-01-01,135.028
1984-01-01,192.122
1985-01-01,225.99
1986-01-01,147.143
1987-01-01,228.336
1988-01-01,629.115
1989-01-01,1430.724
1990-01-01,2947.733
1991-01-01,432.787
1992-01-01,951.962
1993-01-01,1927.381
1994-01-01,2075.888
1995-01-01,66.007
1996-01-01,15.758
1997-01-01,6.927
1998-01-01,3.195
1999-01-01,4.858
2000-01-01,7.044
2001-01-01,6.84
2002-01-01,8.45
2003-01-01,14.715
2004-01-01,6.597
2005-01-01,6.87
2006-01-01,4.184
2007-01-01,3.641
2008-01-01,5.679
2009-01-01,4.888
2010-01-01,5.039
2011-01-01,6.636
2012-01-01,5.403
2013-01-01,6.204
2014-01-01,6.329
2015-01-01,9.03
2016-01-01,8.739
2017-01-01,3.446
2018-01-01,3.665
2019-01-01,3.733
2020-01-01,3.212
2021-01-01,8.302
2022-01-01,9.28
