date,value
1991-01-01,59.709
1992-01-01,58.342
1993-01-01,57.904
1994-01-01,58.383
1995-01-01,58.669
1996-01-01,58.449
1997-01-01,58.967
1998-01-01,59.737
1999-01-01,60.563
2000-01-01,61.269
2001-01-01,61.151
2002-01-01,61.739
2003-01-01,62.446
2004-01-01,62.637
2005-01-01,62.601
2006-01-01,62.784
2007-01-01,63.367
2008-01-01,63.412
2009-01-01,61.495
2010-01-01,61.517
2011-01-01,61.7
2012-01-01,61.652
2013-01-01,61.761
2014-01-01,61.43
2015-01-01,61.29
2016-01-01,61.11
2017-01-01,61.591
2018-01-01,61.597
2019-01-01,61.991
2020-01-01,57.964
2021-01-01,60.216
2022-01-01,61.562
