date,value
1961-01-01,7215744226.788
1962-01-01,7439398347.964
1963-01-01,8094468142.42
1964-01-01,9398307859.409
1965-01-01,9996435159.841
1966-01-01,11675034537.948
1967-01-01,13131420335.483
1968-01-01,15002718390.017
1969-01-01,16551191067.362
1970-01-01,19265001435.544
1971-01-01,20912833721.129
1972-01-01,24070108091.726
1973-01-01,29896305147.054
1974-01-01,38616894904.285
1975-01-01,38303736105.515
1976-01-01,44940900597.368
1977-01-01,48202162670.428
1978-01-01,53815374104.816
1979-01-01,64211564866.151
1980-01-01,75582423325.544
1981-01-01,81065766124.994
1982-01-01,79265812351.772
1983-01-01,85209341280.117
1984-01-01,99657499141.648
1985-01-01,100872394276.738
1986-01-01,102287125062.712
1987-01-01,112631192946.955
1988-01-01,132708123539.819
1989-01-01,142069228024.401
1990-01-01,149465154177.522
1991-01-01,149167447753.878
1992-01-01,155721379056.831
1993-01-01,168752844743.216
1994-01-01,190114967779.731
1995-01-01,218732924449.961
1996-01-01,233942015745.903
1997-01-01,249766353066.585
1998-01-01,253784061018.876
1999-01-01,283990463352.376
2000-01-01,329258635782.102
2001-01-01,310659599429.045
2002-01-01,304705919836.87
2003-01-01,330149882235.386
2004-01-01,383240584166.026
2005-01-01,432369202838.752
2006-01-01,467052186177.715
2007-01-01,502770691741.923
2008-01-01,534150890346.767
2009-01-01,391985828011.548
2010-01-01,471736717163.276
2011-01-01,550163771962.44
2012-01-01,554964544782.69
2013-01-01,560108797442.998
2014-01-01,573083180253.852
2015-01-01,495747450357.728
2016-01-01,481357649980.237
2017-01-01,518766780219.71
2018-01-01,557709524084.096
2019-01-01,564142104614.779
2020-01-01,489021133524.258
2021-01-01,618739366427.49
2022-01-01,721521689461.77
