date,value
1981-01-01,28224.39
1982-01-01,27001.668
1983-01-01,27431.571
1984-01-01,28779.379
1985-01-01,29868.591
1986-01-01,30207.492
1987-01-01,31026.147
1988-01-01,31977.112
1989-01-01,32136.225
1990-01-01,31707.482
1991-01-01,30662.596
1992-01-01,30574.585
1993-01-01,31045.085
1994-01-01,32087.029
1995-01-01,32612.232
1996-01-01,32795.665
1997-01-01,33861.147
1998-01-01,34889.671
1999-01-01,36393.964
2000-01-01,37923.486
2001-01-01,38185.22
2002-01-01,38912.21
2003-01-01,39257.762
2004-01-01,40093.807
2005-01-01,40989.527
2006-01-01,41646.415
2007-01-01,42098.431
2008-01-01,42063.24
2009-01-01,40368.932
2010-01-01,41156.145
2011-01-01,42037.519
2012-01-01,42315.807
2013-01-01,42846.284
2014-01-01,43635.095
2015-01-01,43596.136
2016-01-01,43536.913
2017-01-01,44325.488
2018-01-01,44917.484
2019-01-01,45113.066
2020-01-01,42366.487
2021-01-01,44234.542
2022-01-01,44910.442
