date,value
1961-01-01,7480288611.573
1962-01-01,7594717191.601
1963-01-01,7854322982.181
1964-01-01,8918982105.9
1965-01-01,10166196447.355
1966-01-01,11787348036.047
1967-01-01,12634530727.307
1968-01-01,14340983888.806
1969-01-01,16708140415.942
1970-01-01,17327973968.801
1971-01-01,19613580106.103
1972-01-01,23413476108.698
1973-01-01,28460434576.427
1974-01-01,38773333818.719
1975-01-01,41680788376.31
1976-01-01,46805958620.94
1977-01-01,48954395862.717
1978-01-01,53338456885.413
1979-01-01,63189732042.732
1980-01-01,70919513025.216
1981-01-01,79017226958.382
1982-01-01,67405890206.719
1983-01-01,74471047711.692
1984-01-01,87541510678.404
1985-01-01,92626375200.813
1986-01-01,98837610970.008
1987-01-01,107691459883.669
1988-01-01,128938726604.272
1989-01-01,141921420485.406
1990-01-01,148546381267.765
1991-01-01,152333126540.358
1992-01-01,157740865871.891
1993-01-01,168553633508.344
1994-01-01,183320152314.001
1995-01-01,199740548030.611
1996-01-01,209116593757.412
1997-01-01,237129472439.894
1998-01-01,241248885054.821
1999-01-01,259517903574.052
2000-01-01,287155747087.738
2001-01-01,268274974866.593
2002-01-01,271159115529.217
2003-01-01,295296552708.586
2004-01-01,337418139892.391
2005-01-01,385981185014.029
2006-01-01,430736071932.299
2007-01-01,470813704496.788
2008-01-01,506718837863.168
2009-01-01,411817863703.963
2010-01-01,502035342676.986
2011-01-01,570642753938.112
2012-01-01,589511490951.583
2013-01-01,589048627265.353
2014-01-01,589434433378.268
2015-01-01,534115083556.223
2016-01-01,517396012626.09
2017-01-01,554922650425.45
2018-01-01,591336933501.64
2019-01-01,589706748631.384
2020-01-01,525931174435.497
2021-01-01,619568793940.06
2022-01-01,717786925397.801
