date,value
1960-01-01,1.359
1961-01-01,1.019
1962-01-01,1.062
1963-01-01,1.628
1964-01-01,1.912
1965-01-01,2.333
1966-01-01,3.816
1967-01-01,3.58
1968-01-01,4.055
1969-01-01,4.562
1970-01-01,3.346
1971-01-01,2.705
1972-01-01,4.988
1973-01-01,7.488
1974-01-01,10.997
1975-01-01,10.672
1976-01-01,7.542
1977-01-01,7.976
1978-01-01,8.974
1979-01-01,9.145
1980-01-01,10.129
1981-01-01,12.472
1982-01-01,10.769
1983-01-01,5.864
1984-01-01,4.305
1985-01-01,3.962
1986-01-01,4.195
1987-01-01,4.356
1988-01-01,4.028
1989-01-01,4.984
1990-01-01,4.78
1991-01-01,5.626
1992-01-01,1.49
1993-01-01,1.865
1994-01-01,0.166
1995-01-01,2.149
1996-01-01,1.571
1997-01-01,1.621
1998-01-01,0.996
1999-01-01,1.735
2000-01-01,2.719
2001-01-01,2.525
2002-01-01,2.258
2003-01-01,2.759
2004-01-01,1.857
2005-01-01,2.214
2006-01-01,2.002
2007-01-01,2.138
2008-01-01,2.37
2009-01-01,0.299
2010-01-01,1.777
2011-01-01,2.912
2012-01-01,1.516
2013-01-01,0.938
2014-01-01,1.907
2015-01-01,1.125
2016-01-01,1.429
2017-01-01,1.597
2018-01-01,2.268
2019-01-01,1.949
2020-01-01,0.717
2021-01-01,3.395
2022-01-01,6.803
