date,value
1960-01-01,17909356.0
1961-01-01,18271000.0
1962-01-01,18614000.0
1963-01-01,18964000.0
1964-01-01,19325000.0
1965-01-01,19678000.0
1966-01-01,20048000.0
1967-01-01,20412000.0
1968-01-01,20744000.0
1969-01-01,21028000.0
1970-01-01,21324000.0
1971-01-01,21962032.0
1972-01-01,22218463.0
1973-01-01,22491777.0
1974-01-01,22807969.0
1975-01-01,23143275.0
1976-01-01,23449808.0
1977-01-01,23725843.0
1978-01-01,23963203.0
1979-01-01,24201544.0
1980-01-01,24515667.0
1981-01-01,24819915.0
1982-01-01,25116942.0
1983-01-01,25366451.0
1984-01-01,25607053.0
1985-01-01,25842116.0
1986-01-01,26100278.0
1987-01-01,26446601.0
1988-01-01,26791747.0
1989-01-01,27276781.0
1990-01-01,27691138.0
1991-01-01,28037420.0
1992-01-01,28371264.0
1993-01-01,28684764.0
1994-01-01,29000663.0
1995-01-01,29302311.0
1996-01-01,29610218.0
1997-01-01,29905948.0
1998-01-01,30155173.0
1999-01-01,30401286.0
2000-01-01,30685730.0
2001-01-01,31020902.0
2002-01-01,31360079.0
2003-01-01,31644028.0
2004-01-01,31940655.0
2005-01-01,32243753.0
2006-01-01,32571174.0
2007-01-01,32889025.0
2008-01-01,33247118.0
2009-01-01,33628895.0
2010-01-01,34004889.0
2011-01-01,34339328.0
2012-01-01,34714222.0
2013-01-01,35082954.0
2014-01-01,35437435.0
2015-01-01,35702908.0
2016-01-01,36109487.0
2017-01-01,36545236.0
2018-01-01,37065084.0
2019-01-01,37601230.0
2020-01-01,38007166.0
2021-01-01,38226498.0
2022-01-01,38929902.0
