date,value
1960-01-01,158907457242.429
1961-01-01,115573393646.185
1962-01-01,109124398292.051
1963-01-01,120364211312.289
1964-01-01,142246424921.309
1965-01-01,166357193951.105
1966-01-01,184074235104.248
1967-01-01,173453151731.277
1968-01-01,166341572533.691
1969-01-01,194519834914.36
1970-01-01,232062163046.44
1971-01-01,248445751754.134
1972-01-01,257911534896.498
1973-01-01,277925470006.599
1974-01-01,284345548371.966
1975-01-01,309140480182.898
1976-01-01,304286974638.822
1977-01-01,327321498623.151
1978-01-01,364393859506.917
1979-01-01,392056180496.071
1980-01-01,422770430220.081
1981-01-01,444385672278.89
1982-01-01,484456434564.981
1983-01-01,536633373623.745
1984-01-01,618156247357.863
1985-01-01,701178819512.744
1986-01-01,763934055759.066
1987-01-01,852989116696.352
1988-01-01,948716630508.167
1989-01-01,988622824073.367
1990-01-01,1027379323856.15
1991-01-01,1122543272896.83
1992-01-01,1282219772946.32
1993-01-01,1460239695280.22
1994-01-01,1650608320717.13
1995-01-01,1831415202548.1
1996-01-01,2013138415391.4
1997-01-01,2199087579734.88
1998-01-01,2371626931008.41
1999-01-01,2553332721355.15
2000-01-01,2770113054357.83
2001-01-01,3001022295612.35
2002-01-01,3275124592017.16
2003-01-01,3603882596858.11
2004-01-01,3968365637613.63
2005-01-01,4420544703537.24
2006-01-01,4982880235433.39
2007-01-01,5691986992199.86
2008-01-01,6241302380960.02
2009-01-01,6827905267633.63
2010-01-01,7554112468317.73
2011-01-01,8275593072769.26
2012-01-01,8926363901575.56
2013-01-01,9619598720424.46
2014-01-01,10333927386102.8
2015-01-01,11061573199439.7
2016-01-01,11819154044004.9
2017-01-01,12640254407508.1
2018-01-01,13493442991864.7
2019-01-01,14296370418805.1
2020-01-01,14616414450558.4
2021-01-01,15851132888547.1
2022-01-01,16325209299766.8
