date,value
1960-01-01,238.217
1961-01-01,175.024
1962-01-01,163.907
1963-01-01,176.4
1964-01-01,203.688
1965-01-01,232.607
1966-01-01,250.305
1967-01-01,229.876
1968-01-01,214.77
1969-01-01,244.364
1970-01-01,283.585
1971-01-01,295.38
1972-01-01,299.191
1973-01-01,315.13
1974-01-01,315.817
1975-01-01,337.344
1976-01-01,326.949
1977-01-01,346.939
1978-01-01,381.099
1979-01-01,404.597
1980-01-01,430.855
1981-01-01,447.12
1982-01-01,480.311
1983-01-01,524.409
1984-01-01,596.201
1985-01-01,667.129
1986-01-01,716.105
1987-01-01,786.865
1988-01-01,861.194
1989-01-01,883.764
1990-01-01,905.033
1991-01-01,975.463
1992-01-01,1100.646
1993-01-01,1239.129
1994-01-01,1384.93
1995-01-01,1520.03
1996-01-01,1653.434
1997-01-01,1787.767
1998-01-01,1909.622
1999-01-01,2038.207
2000-01-01,2193.897
2001-01-01,2359.573
2002-01-01,2557.892
2003-01-01,2797.177
2004-01-01,3061.833
2005-01-01,3390.716
2006-01-01,3800.766
2007-01-01,4319.032
2008-01-01,4711.644
2009-01-01,5128.904
2010-01-01,5647.069
2011-01-01,6152.697
2012-01-01,6591.663
2013-01-01,7056.423
2014-01-01,7532.786
2015-01-01,8016.446
2016-01-01,8516.529
2017-01-01,9053.229
2018-01-01,9619.21
2019-01-01,10155.511
2020-01-01,10358.171
2021-01-01,11223.153
2022-01-01,11560.33
