date,value
1961-01-01,-27.27
1962-01-01,-5.58
1963-01-01,10.3
1964-01-01,18.18
1965-01-01,16.95
1966-01-01,10.65
1967-01-01,-5.77
1968-01-01,-4.1
1969-01-01,16.94
1970-01-01,19.3
1971-01-01,7.06
1972-01-01,3.81
1973-01-01,7.76
1974-01-01,2.31
1975-01-01,8.72
1976-01-01,-1.57
1977-01-01,7.57
1978-01-01,11.326
1979-01-01,7.591
1980-01-01,7.834
1981-01-01,5.113
1982-01-01,9.017
1983-01-01,10.77
1984-01-01,15.192
1985-01-01,13.431
1986-01-01,8.95
1987-01-01,11.657
1988-01-01,11.223
1989-01-01,4.206
1990-01-01,3.92
1991-01-01,9.263
1992-01-01,14.225
1993-01-01,13.884
1994-01-01,13.037
1995-01-01,10.954
1996-01-01,9.923
1997-01-01,9.237
1998-01-01,7.846
1999-01-01,7.662
2000-01-01,8.49
2001-01-01,8.336
2002-01-01,9.134
2003-01-01,10.038
2004-01-01,10.114
2005-01-01,11.395
2006-01-01,12.721
2007-01-01,14.231
2008-01-01,9.651
2009-01-01,9.399
2010-01-01,10.636
2011-01-01,9.551
2012-01-01,7.864
2013-01-01,7.766
2014-01-01,7.426
2015-01-01,7.041
2016-01-01,6.849
2017-01-01,6.947
2018-01-01,6.75
2019-01-01,5.951
2020-01-01,2.239
2021-01-01,8.447
2022-01-01,2.991
