date,value
1987-01-01,7.234
1988-01-01,18.812
1989-01-01,18.246
1990-01-01,3.052
1991-01-01,3.557
1992-01-01,6.354
1993-01-01,14.61
1994-01-01,24.257
1995-01-01,16.791
1996-01-01,8.313
1997-01-01,2.786
1998-01-01,-0.773
1999-01-01,-1.401
2000-01-01,0.348
2001-01-01,0.719
2002-01-01,-0.732
2003-01-01,1.128
2004-01-01,3.825
2005-01-01,1.776
2006-01-01,1.649
2007-01-01,4.817
2008-01-01,5.925
2009-01-01,-0.728
2010-01-01,3.175
2011-01-01,5.554
2012-01-01,2.62
2013-01-01,2.621
2014-01-01,1.922
2015-01-01,1.437
2016-01-01,2.0
2017-01-01,1.593
2018-01-01,2.075
2019-01-01,2.899
2020-01-01,2.419
2021-01-01,0.981
2022-01-01,1.974
