date,value
1994-01-01,1157757147.353
1995-01-01,1338976146.011
1996-01-01,1749529627.104
1997-01-01,913626093.649
1998-01-01,2044987887.375
1999-01-01,826448700.0
2000-01-01,2971014492.754
2001-01-01,971000000.0
2002-01-01,1190984744.492
2003-01-01,2684033000.705
2004-01-01,2739841246.914
2005-01-01,3514019565.436
2006-01-01,3795526223.719
2007-01-01,6873939038.583
2008-01-01,8854270846.676
2009-01-01,6738233524.831
2010-01-01,10704459663.554
2011-01-01,11804250540.707
2012-01-01,11004111069.794
2013-01-01,13405258811.474
2014-01-01,15030792452.569
2015-01-01,11984597603.567
2016-01-01,11871538577.122
2017-01-01,14843046971.499
2018-01-01,17774432914.132
2019-01-01,15205263180.517
2020-01-01,14559943785.027
2021-01-01,22193237569.076
2022-01-01,29559714351.355
