date,value
1960-01-01,15276558.0
1961-01-01,15673284.0
1962-01-01,16086084.0
1963-01-01,16517995.0
1964-01-01,16965855.0
1965-01-01,17438254.0
1966-01-01,17941738.0
1967-01-01,18472105.0
1968-01-01,19022799.0
1969-01-01,19583123.0
1970-01-01,20151733.0
1971-01-01,20712952.0
1972-01-01,21273409.0
1973-01-01,21853906.0
1974-01-01,22448415.0
1975-01-01,23052715.0
1976-01-01,23655016.0
1977-01-01,24256464.0
1978-01-01,25015244.0
1979-01-01,25902760.0
1980-01-01,26708686.0
1981-01-01,27457783.0
1982-01-01,28219219.0
1983-01-01,29005175.0
1984-01-01,29879852.0
1985-01-01,30800051.0
1986-01-01,31725132.0
1987-01-01,32712574.0
1988-01-01,33750052.0
1989-01-01,34825891.0
1990-01-01,35987541.0
1991-01-01,37194812.0
1992-01-01,38332302.0
1993-01-01,39580844.0
1994-01-01,41511985.0
1995-01-01,43285791.0
1996-01-01,44118709.0
1997-01-01,44822198.0
1998-01-01,45895524.0
1999-01-01,47227238.0
2000-01-01,48616317.0
2001-01-01,50106657.0
2002-01-01,51662071.0
2003-01-01,53205639.0
2004-01-01,54815607.0
2005-01-01,56550247.0
2006-01-01,58381630.0
2007-01-01,60289422.0
2008-01-01,62249724.0
2009-01-01,64270232.0
2010-01-01,66391257.0
2011-01-01,68654269.0
2012-01-01,70997870.0
2013-01-01,73460021.0
2014-01-01,76035588.0
2015-01-01,78656904.0
2016-01-01,81430977.0
2017-01-01,84283273.0
2018-01-01,87087355.0
2019-01-01,89906890.0
2020-01-01,92853164.0
2021-01-01,95894118.0
2022-01-01,99010212.0
