date,value
1971-01-01,3.133
1972-01-01,4.3
1973-01-01,4.777
1974-01-01,0.89
1975-01-01,-0.867
1976-01-01,4.949
1977-01-01,3.347
1978-01-01,3.008
1979-01-01,4.15
1980-01-01,1.409
1981-01-01,0.529
1982-01-01,-0.395
1983-01-01,1.572
1984-01-01,2.823
1985-01-01,2.328
1986-01-01,2.287
1987-01-01,1.402
1988-01-01,3.707
1989-01-01,3.897
1990-01-01,5.255
1991-01-01,5.108
1992-01-01,1.923
1993-01-01,-0.977
1994-01-01,2.392
1995-01-01,1.544
1996-01-01,0.806
1997-01-01,1.792
1998-01-01,2.014
1999-01-01,1.887
2000-01-01,2.913
2001-01-01,1.681
2002-01-01,-0.198
2003-01-01,-0.7
2004-01-01,1.175
2005-01-01,0.732
2006-01-01,3.816
2007-01-01,2.976
2008-01-01,0.96
2009-01-01,-5.694
2010-01-01,4.18
2011-01-01,3.925
2012-01-01,0.418
2013-01-01,0.438
2014-01-01,2.21
2015-01-01,1.492
2016-01-01,2.23
2017-01-01,2.68
2018-01-01,0.981
2019-01-01,1.057
2020-01-01,-3.697
2021-01-01,2.627
2022-01-01,1.785
