date,value
1960-01-01,1.537
1961-01-01,2.294
1962-01-01,2.843
1963-01-01,2.967
1964-01-01,2.336
1965-01-01,3.242
1966-01-01,3.533
1967-01-01,1.796
1968-01-01,1.47
1969-01-01,1.913
1970-01-01,3.45
1971-01-01,5.241
1972-01-01,5.485
1973-01-01,7.032
1974-01-01,6.986
1975-01-01,5.91
1976-01-01,4.247
1977-01-01,3.734
1978-01-01,2.719
1979-01-01,4.044
1980-01-01,5.441
1981-01-01,6.344
1982-01-01,5.241
1983-01-01,3.293
1984-01-01,2.406
1985-01-01,2.066
1986-01-01,-0.129
1987-01-01,0.25
1988-01-01,1.274
1989-01-01,2.781
1990-01-01,2.696
1991-01-01,4.047
1992-01-01,5.057
1993-01-01,4.475
1994-01-01,2.693
1995-01-01,1.706
1996-01-01,1.45
1997-01-01,1.939
1998-01-01,0.911
1999-01-01,0.585
2000-01-01,1.44
2001-01-01,1.984
2002-01-01,1.421
2003-01-01,1.034
2004-01-01,1.666
2005-01-01,1.547
2006-01-01,1.577
2007-01-01,2.298
2008-01-01,2.628
2009-01-01,0.313
2010-01-01,1.104
2011-01-01,2.075
2012-01-01,2.008
2013-01-01,1.505
2014-01-01,0.907
2015-01-01,0.514
2016-01-01,0.492
2017-01-01,1.509
2018-01-01,1.732
2019-01-01,1.446
2020-01-01,0.145
2021-01-01,3.067
2022-01-01,6.873
