date,value
1965-01-01,847750109.218
1966-01-01,862076408.375
1967-01-01,943166740.38
1968-01-01,700000000.0
1969-01-01,877723970.944
1970-01-01,1091183119.819
1971-01-01,1140015302.219
1972-01-01,1182006204.757
1973-01-01,1366851945.427
1974-01-01,1879700810.305
1975-01-01,2113327487.944
1976-01-01,2285998013.903
1977-01-01,3108577442.554
1978-01-01,2947998787.144
1979-01-01,4774142857.143
1980-01-01,6612494096.944
1981-01-01,6853648648.649
1982-01-01,7282512315.271
1983-01-01,7101280558.789
1984-01-01,6987744571.06
1985-01-01,7119673332.635
1986-01-01,5706267539.757
1987-01-01,5106048703.849
1988-01-01,6076093128.904
1989-01-01,7073523337.464
1990-01-01,8748317631.225
1991-01-01,10269192422.732
1992-01-01,11885776186.321
1993-01-01,12034813925.57
1994-01-01,11714116251.483
1995-01-01,13565319964.612
1996-01-01,14033018867.924
1997-01-01,14778761061.947
1998-01-01,13754427390.791
1999-01-01,13653789442.642
2000-01-01,16174959635.99
2001-01-01,16900269541.779
2002-01-01,15595505617.978
2003-01-01,17500000000.0
2004-01-01,22240259740.26
2005-01-01,27188019966.722
2006-01-01,32173913043.478
2007-01-01,39457092819.615
2008-01-01,53800000000.0
2009-01-01,47205081669.692
2010-01-01,46751361161.524
2011-01-01,48537005163.511
2012-01-01,45766666666.667
2013-01-01,49085271317.83
2014-01-01,43529411764.706
2015-01-01,43423180592.992
2016-01-01,34392638036.81
2017-01-01,37289402173.913
2018-01-01,47225661226.787
2019-01-01,53041002277.904
2020-01-01,47872738615.097
2021-01-01,44850223072.02
2022-01-01,71927051671.732
