date,value
1965-01-01,996286588.03
1966-01-01,1081156917.764
1967-01-01,1071428571.429
1968-01-01,1035981308.411
1969-01-01,1078692493.947
1970-01-01,1374780205.978
1971-01-01,1530986993.114
1972-01-01,1615822130.3
1973-01-01,1834007074.28
1974-01-01,2888427176.397
1975-01-01,4134809294.169
1976-01-01,3717576961.271
1977-01-01,4516926854.938
1978-01-01,5026531231.049
1979-01-01,7743714285.714
1980-01-01,9289542760.0
1981-01-01,9628783783.784
1982-01-01,10472660098.522
1983-01-01,10593713620.489
1984-01-01,10857880025.801
1985-01-01,10888912155.795
1986-01-01,9167446211.413
1987-01-01,9190887666.929
1988-01-01,12322544009.086
1989-01-01,12856257744.734
1990-01-01,13997308209.96
1991-01-01,13226985709.538
1992-01-01,12938946228.147
1993-01-01,14015606242.497
1994-01-01,14561091340.451
1995-01-01,16661751695.665
1996-01-01,17718160377.358
1997-01-01,19528023598.82
1998-01-01,21812278630.46
1999-01-01,21144205249.189
2000-01-01,22779979451.05
2001-01-01,21590296495.957
2002-01-01,19303370786.517
2003-01-01,19576923076.923
2004-01-01,23311688311.688
2005-01-01,29217970049.917
2006-01-01,33913043478.261
2007-01-01,45429071803.853
2008-01-01,62909090909.091
2009-01-01,59764065335.753
2010-01-01,58221415607.986
2011-01-01,58261617900.172
2012-01-01,67866666666.667
2013-01-01,67364341085.271
2014-01-01,69296987087.518
2015-01-01,71347708894.879
2016-01-01,66159509202.454
2017-01-01,69089673913.044
2018-01-01,73331457512.662
2019-01-01,78012528473.804
2020-01-01,75433562071.117
2021-01-01,81943913320.586
2022-01-01,104389057750.76
