date,value
1960-01-01,27034499.0
1961-01-01,27747867.0
1962-01-01,28485022.0
1963-01-01,29245936.0
1964-01-01,30026648.0
1965-01-01,30818469.0
1966-01-01,31613132.0
1967-01-01,32408414.0
1968-01-01,33204629.0
1969-01-01,33995955.0
1970-01-01,34781986.0
1971-01-01,35555969.0
1972-01-01,36330768.0
1973-01-01,37120776.0
1974-01-01,37930374.0
1975-01-01,38775584.0
1976-01-01,39649050.0
1977-01-01,40577356.0
1978-01-01,41576636.0
1979-01-01,42632458.0
1980-01-01,43748556.0
1981-01-01,44899573.0
1982-01-01,46088647.0
1983-01-01,47353665.0
1984-01-01,48676443.0
1985-01-01,50035843.0
1986-01-01,51424313.0
1987-01-01,52841319.0
1988-01-01,54298446.0
1989-01-01,55765843.0
1990-01-01,57214630.0
1991-01-01,58611032.0
1992-01-01,59989142.0
1993-01-01,61382200.0
1994-01-01,62775847.0
1995-01-01,64166908.0
1996-01-01,65565195.0
1997-01-01,66993728.0
1998-01-01,68446011.0
1999-01-01,69907887.0
2000-01-01,71371371.0
2001-01-01,72854261.0
2002-01-01,74393759.0
2003-01-01,75963322.0
2004-01-01,77522427.0
2005-01-01,79075310.0
2006-01-01,80629670.0
2007-01-01,82218755.0
2008-01-01,83844783.0
2009-01-01,85501064.0
2010-01-01,87252413.0
2011-01-01,89200054.0
2012-01-01,91240376.0
2013-01-01,93377890.0
2014-01-01,95592324.0
2015-01-01,97723799.0
2016-01-01,99784030.0
2017-01-01,101789386.0
2018-01-01,103740765.0
2019-01-01,105618671.0
2020-01-01,107465134.0
2021-01-01,109262178.0
2022-01-01,110990103.0
