date,value
1991-01-01,9.38
1992-01-01,8.92
1993-01-01,10.92
1994-01-01,10.93
1995-01-01,11.04
1996-01-01,9.0
1997-01-01,8.37
1998-01-01,8.03
1999-01-01,7.95
2000-01-01,8.98
2001-01-01,9.26
2002-01-01,10.01
2003-01-01,10.91
2004-01-01,10.32
2005-01-01,11.049
2006-01-01,10.49
2007-01-01,8.8
2008-01-01,8.517
2009-01-01,9.087
2010-01-01,8.756
2011-01-01,11.849
2012-01-01,12.597
2013-01-01,13.154
2014-01-01,13.105
2015-01-01,13.052
2016-01-01,12.45
2017-01-01,11.767
2018-01-01,9.855
2019-01-01,7.851
2020-01-01,7.939
2021-01-01,7.4
2022-01-01,6.959
