date,value
1982-01-01,0.916
1983-01-01,8.235
1984-01-01,-2.848
1985-01-01,-11.144
1986-01-01,9.662
1987-01-01,13.859
1988-01-01,0.504
1989-01-01,-0.361
1990-01-01,2.726
1991-01-01,-7.137
1992-01-01,-8.672
1993-01-01,13.143
1994-01-01,3.19
1995-01-01,6.128
1996-01-01,12.426
1997-01-01,3.134
1998-01-01,-3.458
1999-01-01,5.162
2000-01-01,6.073
2001-01-01,8.301
2002-01-01,1.515
2003-01-01,-2.161
2004-01-01,13.573
2005-01-01,11.819
2006-01-01,10.835
2007-01-01,11.456
2008-01-01,10.789
2009-01-01,8.803
2010-01-01,12.551
2011-01-01,11.178
2012-01-01,8.648
2013-01-01,10.582
2014-01-01,10.257
2015-01-01,10.392
2016-01-01,9.433
2017-01-01,9.564
2018-01-01,6.816
2019-01-01,8.364
2020-01-01,6.06
2021-01-01,5.642
2022-01-01,5.317
