date,value
1966-01-01,-1.362
1967-01-01,0.809
1968-01-01,0.183
1969-01-01,1.426
1970-01-01,10.122
1971-01-01,0.536
1972-01-01,-6.082
1973-01-01,8.914
1974-01-01,8.592
1975-01-01,6.55
1976-01-01,28.538
1977-01-01,16.657
1978-01-01,14.308
1979-01-01,16.032
1980-01-01,4.483
1981-01-01,6.136
1982-01-01,5.89
1983-01-01,-0.675
1984-01-01,8.417
1985-01-01,19.065
1986-01-01,-9.809
1987-01-01,-2.429
1988-01-01,7.081
1989-01-01,7.817
1990-01-01,5.152
1991-01-01,35.723
1992-01-01,10.527
1993-01-01,3.543
1994-01-01,7.594
1995-01-01,10.022
1996-01-01,-8.484
1997-01-01,2.395
1998-01-01,0.895
1999-01-01,7.941
2000-01-01,0.662
2001-01-01,-8.238
2002-01-01,0.675
2003-01-01,13.674
2004-01-01,3.327
2005-01-01,9.97
2006-01-01,12.299
2007-01-01,17.24
2008-01-01,44.357
2009-01-01,8.484
2010-01-01,8.149
2011-01-01,33.25
2012-01-01,23.6
2013-01-01,7.464
2014-01-01,6.89
2015-01-01,9.569
2016-01-01,6.628
2017-01-01,10.687
2018-01-01,13.833
2019-01-01,15.81
2020-01-01,20.356
2021-01-01,26.84
