date,value
1960-01-01,21739710.0
1961-01-01,22281675.0
1962-01-01,22852158.0
1963-01-01,23448979.0
1964-01-01,24073696.0
1965-01-01,24727506.0
1966-01-01,25377645.0
1967-01-01,26051596.0
1968-01-01,26778653.0
1969-01-01,27530388.0
1970-01-01,28308246.0
1971-01-01,29099594.0
1972-01-01,29891328.0
1973-01-01,30694316.0
1974-01-01,31488613.0
1975-01-01,32252783.0
1976-01-01,33062216.0
1977-01-01,33695018.0
1978-01-01,34259065.0
1979-01-01,34758823.0
1980-01-01,34945469.0
1981-01-01,35818844.0
1982-01-01,37213393.0
1983-01-01,38235187.0
1984-01-01,39202890.0
1985-01-01,40285965.0
1986-01-01,41455309.0
1987-01-01,42851957.0
1988-01-01,44511537.0
1989-01-01,46195954.0
1990-01-01,47878073.0
1991-01-01,49937430.0
1992-01-01,52011554.0
1993-01-01,53791672.0
1994-01-01,55620211.0
1995-01-01,57476536.0
1996-01-01,59347649.0
1997-01-01,61233480.0
1998-01-01,63136493.0
1999-01-01,65077579.0
2000-01-01,67031867.0
2001-01-01,69018932.0
2002-01-01,71073215.0
2003-01-01,73168838.0
2004-01-01,75301026.0
2005-01-01,77469940.0
2006-01-01,79691050.0
2007-01-01,81996185.0
2008-01-01,84357105.0
2009-01-01,86755585.0
2010-01-01,89237791.0
2011-01-01,91817929.0
2012-01-01,94451280.0
2013-01-01,97084366.0
2014-01-01,99746766.0
2015-01-01,102471895.0
2016-01-01,105293228.0
2017-01-01,108197950.0
2018-01-01,111129438.0
2019-01-01,114120594.0
2020-01-01,117190911.0
2021-01-01,120283026.0
2022-01-01,123379924.0
