date,value
1960-01-01,7703448807.471
1961-01-01,8273434929.997
1962-01-01,9042716899.56
1963-01-01,10367369962.866
1964-01-01,12137117084.555
1965-01-01,12575567948.037
1966-01-01,14294826788.476
1967-01-01,15606193461.98
1968-01-01,17377269222.649
1969-01-01,20853686819.126
1970-01-01,22918389039.802
1971-01-01,25770095892.033
1972-01-01,32248374512.354
1973-01-01,44639068945.197
1974-01-01,62037643207.856
1975-01-01,64439345265.412
1976-01-01,75449330783.939
1977-01-01,83706873495.587
1978-01-01,97265988372.093
1979-01-01,124740980573.543
1980-01-01,157930766842.595
1981-01-01,144292094146.047
1982-01-01,139514921648.867
1983-01-01,127109906188.14
1984-01-01,125805749455.828
1985-01-01,131050518323.843
1986-01-01,158186381286.107
1987-01-01,193330786860.199
1988-01-01,214217597180.927
1989-01-01,229069504421.139
1990-01-01,276177568967.594
1991-01-01,274783164748.285
1992-01-01,289557620817.844
1993-01-01,252823720176.048
1994-01-01,281109404536.862
1995-01-01,336601393087.134
1996-01-01,341586100782.152
1997-01-01,327048775005.619
1998-01-01,351430953969.313
1999-01-01,353643809381.468
2000-01-01,372359017200.001
2001-01-01,367744588386.221
2002-01-01,383474587651.373
2003-01-01,455341828900.391
2004-01-01,539577459091.121
2005-01-01,592025237914.397
2006-01-01,653657213936.47
2007-01-01,760064379592.944
2008-01-01,857925492297.656
2009-01-01,692153802943.359
2010-01-01,742755299683.352
2011-01-01,870126540107.012
2012-01-01,818493895248.047
2013-01-01,854791379337.656
2014-01-01,879982977519.983
2015-01-01,760028534719.922
2016-01-01,762973925940.49
2017-01-01,830791260481.185
2018-01-01,913320694019.591
2019-01-01,888231377160.767
2020-01-01,776227338073.141
2021-01-01,928505549465.101
2022-01-01,1061142369964.98
