date,value
1960-01-01,4.14
1961-01-01,2.4
1962-01-01,5.331
1963-01-01,4.999
1964-01-01,3.211
1965-01-01,2.703
1966-01-01,2.602
1967-01-01,2.792
1968-01-01,4.543
1969-01-01,6.046
1970-01-01,5.3
1971-01-01,5.398
1972-01-01,6.063
1973-01-01,7.381
1974-01-01,13.649
1975-01-01,11.686
1976-01-01,9.625
1977-01-01,9.495
1978-01-01,9.251
1979-01-01,10.647
1980-01-01,13.563
1981-01-01,13.314
1982-01-01,11.978
1983-01-01,9.46
1984-01-01,7.674
1985-01-01,5.831
1986-01-01,2.539
1987-01-01,3.289
1988-01-01,2.701
1989-01-01,3.498
1990-01-01,3.194
1991-01-01,3.213
1992-01-01,2.364
1993-01-01,2.104
1994-01-01,1.656
1995-01-01,1.796
1996-01-01,1.983
1997-01-01,1.204
1998-01-01,0.651
1999-01-01,0.537
2000-01-01,1.676
2001-01-01,1.635
2002-01-01,1.923
2003-01-01,2.098
2004-01-01,2.142
2005-01-01,1.746
2006-01-01,1.675
2007-01-01,1.488
2008-01-01,2.813
2009-01-01,0.088
2010-01-01,1.531
2011-01-01,2.112
2012-01-01,1.954
2013-01-01,0.864
2014-01-01,0.508
2015-01-01,0.038
2016-01-01,0.183
2017-01-01,1.032
2018-01-01,1.851
2019-01-01,1.108
2020-01-01,0.476
2021-01-01,1.642
2022-01-01,5.222
