date,value
1970-01-01,28836056171.526
1971-01-01,32804855473.479
1972-01-01,35488085669.431
1973-01-01,43735506423.441
1974-01-01,55947169408.174
1975-01-01,62132989500.144
1976-01-01,65931259194.758
1977-01-01,78984124602.255
1978-01-01,95206779924.83
1979-01-01,121625619943.812
1980-01-01,152159590867.102
1981-01-01,142153288731.684
1982-01-01,133583689664.776
1983-01-01,127634666427.293
1984-01-01,128609531333.748
1985-01-01,138095070150.535
1986-01-01,151201303435.174
1987-01-01,183690510216.505
1988-01-01,202066642336.351
1989-01-01,210153919656.922
1990-01-01,255393377986.738
1991-01-01,258569330282.662
1992-01-01,270803593821.529
1993-01-01,263942832087.95
1994-01-01,297812196135.137
1995-01-01,347167536217.539
1996-01-01,374857485843.598
1997-01-01,402515493595.904
1998-01-01,404339946896.162
1999-01-01,410237346372.242
2000-01-01,426820759106.16
2001-01-01,420798813799.656
2002-01-01,436506017475.408
2003-01-01,493006624787.235
2004-01-01,581041048738.511
2005-01-01,640714668832.33
2006-01-01,743411061908.909
2007-01-01,786215038200.778
2008-01-01,800599301886.836
2009-01-01,643778779514.034
2010-01-01,711533832405.334
2011-01-01,829054870902.797
2012-01-01,822038504502.361
2013-01-01,837265916868.215
2014-01-01,870215925981.085
2015-01-01,810910803121.76
2016-01-01,773465222156.196
2017-01-01,823091624925.695
2018-01-01,898988137049.041
2019-01-01,893047886902.181
2020-01-01,790751711189.039
2021-01-01,899897601692.897
2022-01-01,1004803742055.75
