date,value
1960-01-01,781539751882.686
1961-01-01,802462500630.958
1962-01-01,811312936981.779
1963-01-01,850859444952.865
1964-01-01,897943108490.367
1965-01-01,917178635134.832
1966-01-01,931606776041.737
1967-01-01,957565762616.267
1968-01-01,1009667714730.69
1969-01-01,1029094699270.8
1970-01-01,1097838558404.1
1971-01-01,1136314697665.07
1972-01-01,1185422441946.6
1973-01-01,1262757606009.82
1974-01-01,1231385605650.85
1975-01-01,1213239297438.03
1976-01-01,1248547789733.67
1977-01-01,1279233979840.42
1978-01-01,1333016308392.24
1979-01-01,1382991310974.8
1980-01-01,1354897671049.24
1981-01-01,1344224548669.11
1982-01-01,1371040366003.38
1983-01-01,1428923720513.52
1984-01-01,1461347502638.87
1985-01-01,1521955648714.16
1986-01-01,1569902434705.62
1987-01-01,1654563164607.02
1988-01-01,1749409568712.28
1989-01-01,1794502398698.95
1990-01-01,1807669659458.39
1991-01-01,1787728863256.87
1992-01-01,1794899122850.84
1993-01-01,1839589077852.52
1994-01-01,1910339842299.94
1995-01-01,1958703343414.76
1996-01-01,1996069836328.18
1997-01-01,2086373375047.13
1998-01-01,2152246177454.06
1999-01-01,2217116394065.01
2000-01-01,2307855285267.75
2001-01-01,2357645605496.07
2002-01-01,2399393975746.24
2003-01-01,2474328328787.79
2004-01-01,2532350622459.43
2005-01-01,2599922287719.73
2006-01-01,2656091147154.86
2007-01-01,2724178993507.05
2008-01-01,2719974378108.14
2009-01-01,2597290325456.68
2010-01-01,2660406373660.76
2011-01-01,2688809162463.69
2012-01-01,2727755400457.14
2013-01-01,2777396821941.01
2014-01-01,2866265260991.21
2015-01-01,2934857946213.47
2016-01-01,2998403672734.88
2017-01-01,3071671779449.63
2018-01-01,3124044429026.19
2019-01-01,3174163743964.48
2020-01-01,2824026234231.55
2021-01-01,3038580807626.92
2022-01-01,3163211887705.84
